x_Al_target,branch,x_Al,V,Vstd,a,astd,Ef,G,Gstd,Omega_total_eV,n_atoms,n_sites,n,n_total,alpha_mean,alpha_std
0.74,vacancy,0.7396450000000001,15.691510285304178,0.022092936871124964,2.7683036972781796,0.0012992523644801918,-0.37491946370467377,-0.4338707029236828,0.000901182329250078,-73.3241487941024,169,250,6,10,-0.014773205077139692,0.01574716427328295
0.75,antisite,0.75,15.033570117838428,0.051738625033015184,3.1095453716250847,0.0035676062214103905,-0.34978356133431304,-0.391485401507655,0.0029631159591085483,-50.11013139297984,128,128,6,8,0.008043448189918988,0.05044648245365236
0.76,vacancy,0.762195,15.765307874638324,0.062137154964661684,2.7450155244349985,0.003609272277369271,-0.34054617666332554,-0.3986106394710777,0.0017075361253341375,-65.37214487325674,164,250,6,8,-0.02236541885813835,0.027503809948025072
0.77,antisite,0.773438,15.254893782932768,0.0,3.1247340596170803,0.0,-0.3258655880270384,-0.36729244337007183,0.0,-47.013432751369194,128,128,1,1,0.0670222222222223,
0.78,vacancy,0.78125,15.864973621645802,0.031633001149973944,2.728242402227714,0.0018139538034891997,-0.31008156573913254,-0.36687166274843663,0.0006419807944599688,-58.69946603974986,160,250,5,7,-0.06498840721891477,0.07584670748047448
0.79,antisite,0.789062,15.420438169902503,0.0459252923146072,3.1359949596401187,0.0031132205384696954,-0.29765517326768576,-0.33859121662632374,0.0014727936233847603,-43.33967572816944,128,128,2,2,0.02841373194240225,0.005264231678650836
0.8,antisite,0.796875,15.407097126562174,0.04643112633476838,3.135090289599029,0.00314932717837623,-0.2856099476117411,-0.3262070896258423,0.0011380236464914111,-41.75450747210781,128,128,2,2,,
0.8,vacancy,0.8012820000000003,16.003476585579612,0.06143551488023525,2.713162077112105,0.0034754829423507597,-0.2800206561064328,-0.33495965343622036,0.0022249767353403564,-52.253705936050366,156,250,5,7,-0.024461412342310744,0.06917046487706265
0.825,antisite,0.824,15.795184183530225,0.08914187968939549,3.161189545225317,0.005953089836390901,-0.24819213815587557,-0.28804317586792566,0.0016199216228331684,-72.01079396698141,250,250,3,3,0.0077416990379146665,0.029422249423183416
0.825,vacancy,0.822368,16.08622265163159,0.12542674281005808,2.694390863153021,0.006996992716738865,-0.24964102411519376,-0.30206478136702536,0.004387119169448996,-45.913846767787845,152,250,3,3,-0.06205373310347093,0.08677541043672896
0.85,antisite,0.852,16.065790594876862,0.020865010453902252,3.179147258585779,0.0013760392064416384,-0.20896609681622932,-0.24622263706450562,0.002019326293697947,-61.555659266126405,250,250,3,3,0.0229515742542797,0.017148392787378716
0.85,vacancy,0.85034,16.334406714491568,0.07906520971229748,2.6781576777379565,0.00431816496210143,-0.20075737733063378,-0.24892952171660995,0.004614367991811895,-36.59263969234166,147,250,3,3,-0.14587660476953265,0.04325464572024144
