x_Al_target,branch,x_Al,Ef,Efstd,a,V,n,n_atoms,G_1273K,Gstd_1273K,minus_T_S_1273K,G_1473K,Gstd_1473K,minus_T_S_1473K,delta_Ef_0K_all_eV,delta_G_1273K_0K_all_eV,delta_G_1473K_0K_all_eV,delta_Ef_1273K_eV,delta_G_1273K_1273K_eV,delta_G_1473K_1273K_eV,delta_Ef_1473K_eV,delta_G_1273K_1473K_eV,delta_G_1473K_1473K_eV
0.52,antisite,0.523438,-0.6542206608799152,0.00043521306119332287,2.895026163360263,12.131862618920414,3,128,-0.6633371268745488,0.00043521306119332287,-0.009116465994633671,-0.6647694074707206,0.00043521306119332287,-0.010548746590805402,0.02383672646330437,0.014720260468670698,0.013287979872498967,0.0229476474012007,0.013831181406567028,0.012398900810395297,0.005357314983144512,-0.003759151011489159,-0.00519143160766089
0.53,antisite,0.53125,-0.6408866755914996,0.0010497551508519205,2.8996894717758477,12.190583183557473,3,128,-0.6523381626791834,0.0010497551508519205,-0.011451487087683954,-0.65413729654999,0.0010497551508519205,-0.0132506209584905,0.03251791692280959,0.021066429835125744,0.019267295964319198,0.031332503462158434,0.01988101637447459,0.018081882503668045,0.007879227241309517,-0.003572259846374326,-0.005371393717180872
0.54,antisite,0.539062,-0.6275278365477908,0.0007038537116813221,2.9042027616118333,12.247594790923545,3,128,-0.6411089401267585,0.0007038537116813221,-0.01358110357896769,-0.6432426563214116,0.0007038537116813221,-0.01571481977362088,0.041223961137607956,0.027642857558640266,0.025509141363987076,0.03974221327840943,0.026161109699441742,0.024027393504788552,0.010425993254767785,-0.0031551103241999057,-0.005288826518853096
0.56,antisite,0.5625,-0.5893732051625117,0.0019574471096491072,2.91885769325418,12.433943236325513,3,128,-0.6084083205370128,0.0019574471096491072,-0.019035115374501088,-0.6113989121119542,0.0019574471096491072,-0.022025706949442392,0.06541901684444362,0.046383901469942534,0.04339330989500112,0.06304818992314132,0.04401307454864023,0.041022482973698815,0.016141637481443483,-0.0028934778930576055,-0.00588406946799902
0.58,antisite,0.578125,-0.5606018600527283,0.005984506857643953,2.930571633741136,12.584243956365057,3,128,-0.5826647226869562,0.005984506857643953,-0.022062862634227964,-0.5861310011840856,0.005984506857643953,-0.02552914113135729,0.08399511660506165,0.061932253970833684,0.05846597547370436,0.08192064304892221,0.05985778041469425,0.056391501917564923,0.023287452496799865,0.001224589862571901,-0.002241688634557426
0.6,antisite,0.601562,-0.5303616489807704,0.002227956003781041,2.948378063697941,12.815046558635759,3,128,-0.5562491966104509,0.002227956003781041,-0.025887547629680596,-0.5603163682726161,0.002227956003781041,-0.029954719291845677,0.09645417332992179,0.0705666257002413,0.06649945403807611,0.09584747221114098,0.0699599245814605,0.0658927529192953,0.02109006044408024,-0.0047974871856002466,-0.008864658847765439
0.61,antisite,0.609375,-0.5142260896890871,0.002829768614276155,2.9539558794751515,12.887945093828167,3,128,-0.5412215665433704,0.002829768614276155,-0.026995476854283273,-0.5454628040695736,0.002829768614276155,-0.031236714380486474,0.10334502281344915,0.07634954595916588,0.07210830843296268,0.09970365086173993,0.07270817400745666,0.06846693648125346,0.02641216267158719,-0.0005833141826960819,-0.004824551708899283
0.63,antisite,0.632812,-0.4856717727304451,0.005846900026705048,2.984833469979557,13.296644543924847,3,128,-0.5155478608199137,0.005846900026705047,-0.029876088089468622,-0.5202416688465389,0.005846900026705048,-0.034569896116093735,0.10416757684187844,0.07429148875240987,0.06959768072578465,0.09142296921740017,0.06154688112793161,0.056853073101306384,0.02252887650555163,-0.007347211583916935,-0.012041019610542159
0.65,antisite,0.648438,-0.4654671382307427,0.0026782147544159966,3.001885240253472,13.525897187207418,3,128,-0.4969235539010562,0.0026782147544159966,-0.03145641567031354,-0.5018656459152453,0.0026782147544160244,-0.036398507684502666,0.10588279172526893,0.07442637605495545,0.06948428404076634,0.08706884243493374,0.05561242676462025,0.050670334750431145,0.021106596876901196,-0.010349818793412291,-0.015291910807601394
0.67,antisite,0.671875,-0.43974933623744494,0.0036439181178689185,3.0450334283206306,14.117206395153296,2,128,-0.4731089850254635,0.0036439181178689185,-0.03335964878801856,-0.47835009245484583,0.0036439181178689185,-0.03860075621740089,0.10386883078835385,0.07050918200033529,0.06526807457095296,0.07595164582524982,0.042591997037231266,0.037350889607848936,0.01438679574552143,-0.01897285304249713,-0.02421396047187946
