path,n_Ni_sublattice,n_defect_sublattice,c_defect,n_1nn_pairs,n_defect_defect_pairs,alpha_1nn_WC,a_eff_A,structure_id,branch,x_Al_target,seed
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s0.extxyz,21,43,0.671875,144,62,0.04621116519439927,3.079168321635386,b2_x0.710_antisiteAl_dense_s0.extxyz,antisite,0.71,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s1.extxyz,23,41,0.640625,160,73,-0.11171921475312319,3.075083135325966,b2_x0.710_antisiteAl_dense_s1.extxyz,antisite,0.71,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s10.extxyz,24,40,0.625,144,58,-0.03111111111111109,3.079047369537772,b2_x0.710_antisiteAl_dense_s10.extxyz,antisite,0.71,10
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s11.extxyz,24,40,0.625,144,56,0.004444444444444473,3.0726674882517653,b2_x0.710_antisiteAl_dense_s11.extxyz,antisite,0.71,11
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s12.extxyz,19,45,0.703125,160,78,0.013925925925925897,3.08840652013693,b2_x0.710_antisiteAl_dense_s12.extxyz,antisite,0.71,12
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s2.extxyz,18,46,0.71875,144,72,0.032136105860113395,3.0795326952498736,b2_x0.710_antisiteAl_dense_s2.extxyz,antisite,0.71,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s3.extxyz,23,41,0.640625,160,59,0.10148720999405114,3.0905700547136887,b2_x0.710_antisiteAl_dense_s3.extxyz,antisite,0.71,3
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s4.extxyz,25,39,0.609375,160,50,0.15844838921761994,3.0783323022848035,b2_x0.710_antisiteAl_dense_s4.extxyz,antisite,0.71,4
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s5.extxyz,17,47,0.734375,144,75,0.03425381017051454,3.077410219582856,b2_x0.710_antisiteAl_dense_s5.extxyz,antisite,0.71,5
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s6.extxyz,25,39,0.609375,144,57,-0.06596537365768129,3.078075647506008,b2_x0.710_antisiteAl_dense_s6.extxyz,antisite,0.71,6
