x_Al_target,x_Al,branch,seed,defect_kind,n_defect,E_perfect_eV,E_defect_eV,deltaE_per_defect_eV,dE_total_eV,dNi,dAl,n_atoms,n_sites
0.48,0.479675,vacancy,1,Al_vacancy,5,-694.0398846214761,-666.3010473045117,1.819330266225706,27.73883731696435,0,-5,123,128
0.48,0.476562,antisite,2,Ni_antisite_on_Al,3,-694.0398846214761,-698.2929778637946,0.5857603316900182,-4.253093242318528,3,-3,128,128
0.48,0.479675,vacancy,2,Al_vacancy,5,-694.0398846214761,-666.683664277222,1.7428068716836556,27.356220344254098,0,-5,123,128
0.52,0.520325,vacancy,0,Ni_vacancy,5,-694.0398846214761,-659.8916034313324,1.0977609617320332,34.14828119014362,-5,0,123,128
0.52,0.523438,antisite,0,Al_antisite_on_Ni,3,-694.0398846214761,-683.2548624038441,1.5915493267478027,10.78502221763199,-3,3,128,128
0.52,0.520325,vacancy,1,Ni_vacancy,5,-694.0398846214761,-659.7428246645193,1.1275167150946666,34.29705995695679,-5,0,123,128
0.52,0.523438,antisite,1,Al_antisite_on_Ni,3,-694.0398846214761,-683.1510537903474,1.6261521979133537,10.888830831128644,-3,3,128,128
0.52,0.520325,vacancy,2,Ni_vacancy,5,-694.0398846214761,-660.0546943644845,1.0651427751016265,33.98519025699159,-5,0,123,128
0.52,0.523438,antisite,2,Al_antisite_on_Ni,3,-694.0398846214761,-683.1679191298155,1.6205304180906737,10.871965491660603,-3,3,128,128
0.54,0.537815,vacancy,0,Ni_vacancy,9,-694.0398846214761,-632.0157642086839,1.1596736584579947,62.02412041279217,-9,0,119,128
0.54,0.539062,antisite,0,Al_antisite_on_Ni,5,-694.0398846214761,-675.8557750992543,1.633363825314828,18.184109522221775,-5,5,128,128
0.54,0.537815,vacancy,1,Ni_vacancy,9,-694.0398846214761,-631.6764337716515,1.1973770403504775,62.36345084982452,-9,0,119,128
0.54,0.539062,antisite,1,Al_antisite_on_Ni,5,-694.0398846214761,-675.6757130375003,1.6693762376656338,18.364171583975804,-5,5,128,128
0.54,0.537815,vacancy,2,Ni_vacancy,9,-694.0398846214761,-632.2919741880877,1.1289836607464612,61.74791043338837,-9,0,119,128
0.54,0.539062,antisite,2,Al_antisite_on_Ni,5,-694.0398846214761,-675.7715436450695,1.65021011615178,18.268340976406535,-5,5,128,128
0.56,0.561404,vacancy,0,Ni_vacancy,14,-694.0398846214761,-598.266783835867,1.109040494103953,95.77310078560902,-14,0,114,128
0.56,0.5625,antisite,0,Al_antisite_on_Ni,8,-694.0398846214761,-665.1253887784171,1.610853901252841,28.914495843058944,-8,8,128,128
0.56,0.561404,vacancy,1,Ni_vacancy,14,-694.0398846214761,-597.9693511302451,1.1302856873626663,96.070533491231,-14,0,114,128
0.56,0.5625,antisite,1,Al_antisite_on_Ni,8,-694.0398846214761,-664.624303862628,1.6734895157264758,29.415580758848023,-8,8,128,128
0.56,0.561404,vacancy,2,Ni_vacancy,14,-694.0398846214761,-597.7622414589487,1.1450792353124086,96.2776431625274,-14,0,114,128
0.56,0.5625,antisite,2,Al_antisite_on_Ni,8,-694.0398846214761,-664.8708221908611,1.642674724697346,29.169062430614986,-8,8,128,128
0.58,0.581818,vacancy,0,Ni_vacancy,18,-694.0398846214761,-569.9629241935331,1.161269191922361,124.07696042794294,-18,0,110,128
0.58,0.578125,antisite,0,Al_antisite_on_Ni,10,-694.0398846214761,-656.6028545894485,1.7402449240732296,37.437030032027565,-10,10,128,128
0.58,0.581818,vacancy,1,Ni_vacancy,18,-694.0398846214761,-569.2469403030565,1.2010460747266194,124.79294431841959,-18,0,110,128
0.58,0.578125,antisite,1,Al_antisite_on_Ni,10,-694.0398846214761,-656.8967604617591,1.710854336842172,37.14312415971699,-10,10,128,128
0.58,0.581818,vacancy,2,Ni_vacancy,18,-694.0398846214761,-569.8881963381402,1.1654207394441884,124.15168828333583,-18,0,110,128
0.58,0.578125,antisite,2,Al_antisite_on_Ni,10,-694.0398846214761,-658.0519442598949,1.5953359570285925,35.987940361581195,-10,10,128,128
0.32,0.319149,vacancy,0,Al_vacancy,34,-694.0398846214761,-516.5090247876996,1.4930586802968506,177.5308598337765,0,-34,94,128
0.34,0.340206,vacancy,0,Al_vacancy,31,-694.0398846214761,-534.0554468803933,1.4323511170613112,159.98443774108273,0,-31,97,128
0.34,0.340206,vacancy,1,Al_vacancy,31,-694.0398846214761,-533.2678981711073,1.4577559141350551,160.7719864503688,0,-31,97,128
0.36,0.36,vacancy,2,Al_vacancy,28,-694.0398846214761,-547.9200156748909,1.4901295509251626,146.11986894658514,0,-28,100,128
0.38,0.378641,vacancy,0,Al_vacancy,25,-694.0398846214761,-560.324003666895,1.6201980410160781,133.71588095458105,0,-25,103,128
0.4,0.401869,vacancy,0,Al_vacancy,21,-694.0398846214761,-579.5614216410961,1.7229181828509292,114.47846298037996,0,-21,107,128
0.4,0.401869,vacancy,1,Al_vacancy,21,-694.0398846214761,-579.2949149710264,1.7356089766637721,114.74496965044966,0,-21,107,128
0.4,0.401869,vacancy,2,Al_vacancy,21,-694.0398846214761,-578.3106947824184,1.782476604692724,115.72918983905765,0,-21,107,128
0.6,0.598131,vacancy,0,Ni_vacancy,21,-694.0398846214761,-548.4176373255575,1.2024974520803828,145.62224729591856,-21,0,107,128
0.6,0.598131,vacancy,1,Ni_vacancy,21,-694.0398846214761,-547.8643733583232,1.2288433552820177,146.17551126315288,-21,0,107,128
0.6,0.598131,vacancy,2,Ni_vacancy,21,-694.0398846214761,-548.4482781292688,1.2010383661893675,145.59160649220723,-21,0,107,128
0.62,0.621359,vacancy,0,Ni_vacancy,25,-694.0398846214761,-519.492737219376,1.2499906197873134,174.5471474021001,-25,0,103,128
0.62,0.621359,vacancy,1,Ni_vacancy,25,-694.0398846214761,-519.6628450047657,1.2431863083717234,174.37703961671036,-25,0,103,128
0.62,0.621359,vacancy,2,Ni_vacancy,25,-694.0398846214761,-519.6108568324586,1.2452658352640082,174.42902778901748,-25,0,103,128
0.64,0.64,vacancy,0,Ni_vacancy,28,-694.0398846214761,-498.792303615113,1.2412326167877044,195.24758100636308,-28,0,100,128
0.64,0.64,vacancy,1,Ni_vacancy,28,-694.0398846214761,-497.83031462736136,1.2755893663502624,196.2095699941147,-28,0,100,128
0.64,0.64,vacancy,2,Ni_vacancy,28,-694.0398846214761,-497.9592576043318,1.2709842600298893,196.08062701714425,-28,0,100,128
0.66,0.659794,vacancy,0,Ni_vacancy,31,-694.0398846214761,-476.6041438928953,1.2821608762381718,217.43574072858075,-31,0,97,128
0.66,0.659794,vacancy,1,Ni_vacancy,31,-694.0398846214761,-477.2436418231615,1.2615319107457137,216.79624279831455,-31,0,97,128
0.66,0.659794,vacancy,2,Ni_vacancy,31,-694.0398846214761,-476.7140066697508,1.2786169156944462,217.32587795172526,-31,0,97,128
0.47,0.46875,antisite,0,Ni_antisite_on_Al,4,-694.0398846214761,-699.5804777602467,0.6183097944368656,-5.540593138770646,4,-4,128,128
