name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
CsSe,2029755,Pm-3m,CsCl,2,0.0,-0.5219261899999998,,0.4536751441666671
CaAl,2030303,Pm-3m,CsCl,2,0.0,-0.19873819000000026,,0.06565201897892703
MgAl,2030304,Pm-3m,CsCl,2,0.0,0.06258472541666471,,0.08293803006416957
CaMg,2030306,Pm-3m,CsCl,2,0.0,-0.08849424458333499,,0.006083871250000261
NaBi,2030339,Pm-3m,CsCl,2,0.0,-0.29648971292582393,,0.07012170000000006
NiMo,2030393,Pm-3m,CsCl,2,0.0,0.2815813400000007,,0.348076432500001
ZrNi,2030395,Pm-3m,CsCl,2,0.0,-0.3547951249999999,,0.10205164874999983
ZrMo,2030400,Pm-3m,CsCl,2,0.0,0.07430391500000155,,0.17774414375000136
TiNb,2030450,Pm-3m,CsCl,2,0.0,0.03243551810686718,,0.04006504083333281
PmN,2030475,Pm-3m,CsCl,2,0.0,-0.7343346739217527,,0.8072496749999973
EuN,2030478,Pm-3m,CsCl,2,0.0,-0.49349177767175245,,0.48540399390625066
YbN,2030481,Pm-3m,CsCl,2,0.0,-0.4919956126717535,,0.49466916812499817
NiW,2030502,Pm-3m,CsCl,2,0.0,0.32747451500000047,,0.4016566187042444
AlW,2030504,Pm-3m,CsCl,2,0.0,0.3155618199999992,,0.4418255119967729
AgBr,2030839,Pm-3m,CsCl,2,0.36099999999999977,-0.30289787745791763,,0.22970617375000035
AgCl,2030842,Pm-3m,CsCl,2,0.8560000000000001,-0.4812106365595614,,0.16176356624999988
MgCu,2030890,Pm-3m,CsCl,2,0.0,-0.10351893958333491,,0.029940348333333366
YOs,2030938,Pm-3m,CsCl,2,0.0,0.020866912500000723,,0.2996594057812512
NbTc,2030940,Pm-3m,CsCl,2,0.0,-0.33716894750000037,,0.0
LiZn,2031148,Pm-3m,CsCl,2,0.0,-0.14884561499999993,,0.07282204500000006
TaNi,2031349,Pm-3m,CsCl,2,0.0,-0.08318534500000041,,0.20358425583333367
TaAl,2031351,Pm-3m,CsCl,2,0.0,0.08237671499999966,,0.3610776956751582
BaCl,2031522,Pm-3m,CsCl,2,0.0,-1.7090035428095613,,0.39473609187500003
TaAs,2031531,Pm-3m,CsCl,2,0.0,-0.2692871425000014,,0.2764435249999996
CrC,2031815,Pm-3m,CsCl,2,0.0,0.6771448212500015,,0.7639336271528463
MoC,2031821,Pm-3m,CsCl,2,0.0,0.6748720712500003,,0.7660777700000008
