name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
TmTl3,18170,Pm-3m,AuCu3,2,0.0,-0.15962322875,,0.004358943750000233
UTl3,18171,Pm-3m,AuCu3,2,0.0,0.23442209,,0.23442209
YTl3,18173,Pm-3m,AuCu3,2,0.0,-0.2310098925,,0.0
YbTl3,18175,Pm-3m,AuCu3,2,0.0,-0.25977716625,,0.0
VZn3,18189,Pm-3m,AuCu3,2,0.0,-0.04073035,,0.0
Zr3Al,18197,Pm-3m,AuCu3,2,0.0,-0.299313165,,0.0
DyPd3,18314,Pm-3m,AuCu3,2,0.0,-0.893597686666667,,0.001993465000000305
ErPd3,18320,Pm-3m,AuCu3,2,0.0,-0.914086197500001,,0.0
LuGa3,18364,Pm-3m,AuCu3,2,0.0,-0.4829762125,,0.0004051549999999904
NpGa3,18367,Pm-3m,AuCu3,2,0.0,-0.191847125937501,,0.0
Np3Al,18451,Pm-3m,AuCu3,2,0.0,0.3371231584375,,0.39503112890625
Np3In,18452,Pm-3m,AuCu3,2,0.0,0.440863300937499,,0.4438738808032265
NpIn3,18460,Pm-3m,AuCu3,2,0.0,-0.00440681968750045,,0.004624919999999479
La3In,18489,Pm-3m,AuCu3,2,0.0,-0.3011306325,,0.0
CoPt3,18499,Pm-3m,AuCu3,2,0.0,-0.0669313775000004,,0.020880746666666034
CePd3,18665,Pm-3m,AuCu3,2,0.0,-0.726107479375,,0.0
GdPd3,18693,Pm-3m,AuCu3,2,0.0,-0.868430664374999,,0.001931357500000619
AlPt3,18714,Pm-3m,AuCu3,2,0.0,-0.687711832500001,,0.01557226749999896
ScAl3,18716,Pm-3m,AuCu3,2,0.0,-0.45477582375,,0.0
CaPb3,18782,Pm-3m,AuCu3,2,0.0,-0.3351631725,,0.002452539999999892
Ce3In,18793,Pm-3m,AuCu3,2,0.0,-0.284487060625001,,0.0
Ce3Pb,18794,Pm-3m,AuCu3,2,0.0,-0.348561375625001,,0.006112555940035291
CrRh3,18815,Pm-3m,AuCu3,2,0.0,-0.123945942500001,,0.0
EuSn3,18834,Pm-3m,AuCu3,2,0.0,-0.611539027638402,,0.0005198599999997056
Nb3Ge,18852,Pm-3m,AuCu3,2,0.0,-0.184490946250001,,0.13927770370217624
ScIr3,18866,Pm-3m,AuCu3,2,0.0,-0.60624575125,,0.005006264499999968
Nb3Si,18875,Pm-3m,AuCu3,2,0.0,-0.230708736250001,,0.222510941432764
PrPt3,18884,Pm-3m,AuCu3,2,0.0,-0.803113476875,,0.08803257750000004
PrSn3,18890,Pm-3m,AuCu3,2,0.0,-0.572317017013401,,0.00029298375000086363
PrTl3,18892,Pm-3m,AuCu3,2,0.0,-0.312772653125,,0.005527719999999958
Pr3Tl,18894,Pm-3m,AuCu3,2,0.0,-0.216651561875,,0.0009822525000010018
SmSn3,18908,Pm-3m,AuCu3,2,0.0,-0.544505759513402,,0.015036402499999046
Ce3Al,18920,Pm-3m,AuCu3,2,0.0,-0.156469135625001,,0.032616688749998984
Cd3In,19112,Pm-3m,AuCu3,2,0.0,0.0158212225000001,,0.0158212225000001
PuGe3,19154,Pm-3m,AuCu3,2,0.0,-0.37167911625,,0.001877512500000289
HoGa3,19192,Pm-3m,AuCu3,2,0.0,-0.519039842083333,,0.00324338562499904
TmGa3,19193,Pm-3m,AuCu3,2,0.0,-0.50422251375,,0.0
Ni3Pt,19455,Pm-3m,AuCu3,2,0.0,-0.0760392124999996,,0.0018394300000003777
MgPd3,19681,Pm-3m,AuCu3,2,0.0,-0.486146624791667,,0.009009687500001029
Pu3Ge,20082,Pm-3m,AuCu3,2,0.0,-0.233698981249999,,0.009097694547317209
Pu3Sn,20083,Pm-3m,AuCu3,2,0.0,-0.248991261712799,,0.0
Mn3Sb,20674,Pm-3m,AuCu3,2,0.0,0.0846694534051737,,0.10332608685344931
Al3V,21315,Pm-3m,AuCu3,2,0.0,-0.1433416,,0.1389778425
TiAl3,21316,Pm-3m,AuCu3,2,0.0,-0.385348408446566,,0.03258294250000032
PdAu3,22245,Pm-3m,AuCu3,2,0.0,-0.0775903750000002,,0.00927139374999976
Pd3Au,22246,Pm-3m,AuCu3,2,0.0,-0.0539886024999996,,0.002142258750000174
AlCu3,22409,Pm-3m,AuCu3,2,0.0,-0.177886805,,0.011023996250000001
InPd3,23395,Pm-3m,AuCu3,2,0.0,-0.442734499999999,,0.023573395000000996
La3Ga,27476,Pm-3m,AuCu3,2,0.0,-0.25927092375,,0.053167855937193864
Ag3Pt,27631,Pm-3m,AuCu3,2,0.0,0.0123437043749997,,0.03703386710547107
ZrAl3,27979,Pm-3m,AuCu3,2,0.0,-0.4605782375,,0.027378616249999987
CeIn3,29103,Pm-3m,AuCu3,2,0.0,-0.482179384375001,,0.0
CePb3,29152,Pm-3m,AuCu3,2,0.0,-0.392577309375,,0.0007644149999994632
CeRh3,29167,Pm-3m,AuCu3,2,0.0,-0.229614031875,,0.22921011333333352
Ce3Sn,29193,Pm-3m,AuCu3,2,0.0,-0.469412167337802,,0.002933826111728599
CeSn3,29195,Pm-3m,AuCu3,2,0.0,-0.575536184513401,,0.0005257099999999015
CeTl3,29199,Pm-3m,AuCu3,2,0.0,-0.320585610625,,0.003810147500000083
Ce3Tl,29201,Pm-3m,AuCu3,2,0.0,-0.217855254375001,,0.00026507249999999094
TiCo3,29521,Pm-3m,AuCu3,2,0.0,-0.268240958446565,,0.014039837500000651
CrIr3,29555,Pm-3m,AuCu3,2,0.0,-0.22469347,,0.0011297812500004611
CrPt3,29575,Pm-3m,AuCu3,2,0.0,-0.254736625,,0.0015777425000008116
Cu3Pt,29766,Pm-3m,AuCu3,2,0.0,-0.140900407499999,,9.532500000100641e-05
