material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-11261,YAu,B2,Y,Au,1.0,1.0,3.5866487,-36.377951335,0.042603579999997004
mp-2802,HfRu,B2,Hf,Ru,1.0,1.0,3.22512961,-36.190313485,0.0
mp-11460,HfTc,B2,Hf,Tc,1.0,1.0,3.24736666,-36.086302275,0.0
mp-1187279,Tb3Hg,L1$_2$,Tb,Hg,3.0,1.0,4.822497,-35.9647347475,0.08768202499999901
mp-2757,CdAu,B2,Cd,Au,1.0,1.0,3.36095728,-35.54430999,0.011665960555554002
mp-11457,HfRh,B2,Hf,Rh,1.0,1.0,3.24904685,-35.53889058,0.011648981442313001
mp-2399,YHg,B2,Y,Hg,1.0,1.0,3.70623527,-35.426647265,0.0
mp-758433,AgHg,B2,Ag,Hg,1.0,1.0,3.453205,-35.276482879583334,0.085358954166665
mp-2434,SrTl,B2,Sr,Tl,1.0,1.0,4.06285299,-34.656548855,0.0
mp-1742,GdRh,B2,Gd,Rh,1.0,1.0,3.4479528200000003,-34.558245825,0.0
mp-976949,Lu3In,L1$_2$,Lu,In,3.0,1.0,4.71722398,-34.5183749525,0.016917669583335
mp-1184417,Gd3Al,L1$_2$,Gd,Al,3.0,1.0,4.80770796,-34.4505866775,0.0
mp-12778,VOs,B2,V,Os,1.0,1.0,3.01657359,-33.8740765,0.0
mp-291,TiOs,B2,Ti,Os,1.0,1.0,3.08463336,-33.79079237,0.0
mp-978514,SmTm3,L1$_2$,Sm,Tm,1.0,3.0,4.98530758,-33.724246612499996,0.049770684999998004
mp-1185440,Lu3Cd,L1$_2$,Lu,Cd,3.0,1.0,4.760901,-33.69197469166667,0.07151996249999801
mp-1186656,PmTm3,L1$_2$,Pm,Tm,1.0,3.0,4.9950040399999995,-33.675012335,0.056163663749998004
mp-973232,NdTm3,L1$_2$,Nd,Tm,1.0,3.0,5.01021699,-33.64574567,0.049542793124999006
mp-21005,GdIn,B2,Gd,In,1.0,1.0,3.79965897,-33.553225555,0.001510005
mp-2179,TiRe,B2,Ti,Re,1.0,1.0,3.10808087,-33.122902235,0.0
mp-1184575,Ho3Er,L1$_2$,Ho,Er,3.0,1.0,4.98579747,-33.0883434175,0.059782880000000004
mp-1183761,CeEr3,L1$_2$,Ce,Er,1.0,3.0,4.96039,-33.08799852875,0.066235036249999
mp-1187024,Sn3Bi,L1$_2$,Sn,Bi,3.0,1.0,4.892745,-33.08674423749999,0.09846203375000301
mp-980063,YbDy3,L1$_2$,Yb,Dy,1.0,3.0,4.9917702975509375,-33.07505222,0.047278244166662
mp-12674,MnAu,B2,Mn,Au,1.0,1.0,3.20775807,-33.008115065,0.0
mp-1187304,Tb3Eu,L1$_2$,Tb,Eu,3.0,1.0,5.071621,-32.96418250125,0.08586378999999701
mp-1187291,Tb3Lu,L1$_2$,Tb,Lu,3.0,1.0,5.00818078,-32.8992585025,0.040537155833334004
mp-1186551,PmEr3,L1$_2$,Pm,Er,1.0,3.0,5.01180227,-32.772828655,0.056400835625005
mp-1186300,NdEr3,L1$_2$,Nd,Er,1.0,3.0,5.02770393,-32.7413676025,0.057211018125002004
mp-976147,PrEr3,L1$_2$,Pr,Er,1.0,3.0,5.04441968117049,-32.7327210775,0.06234438958333
mp-1184064,Dy3Tm,L1$_2$,Dy,Tm,3.0,1.0,4.99704086,-32.7197319775,0.046882513750006
mp-542779,GdAg,B2,Gd,Ag,1.0,1.0,3.65399653,-32.62432549,0.0
mp-1183788,DyHo3,L1$_2$,Dy,Ho,1.0,3.0,4.9994084,-32.6084845425,0.055325344999999006
mp-1187168,SrEu3,L1$_2$,Sr,Eu,1.0,3.0,5.74443281,-32.604485185,0.07259211874999401
mp-1187925,Yb3Cd,L1$_2$,Yb,Cd,3.0,1.0,4.742764582060463,-32.54290357,0.069614907500003
mp-1186016,Mo3Pt,L1$_2$,Mo,Pt,3.0,1.0,3.973983999999999,-32.5310379425,0.073925947500001
mp-1187338,TbHo3,L1$_2$,Tb,Ho,1.0,3.0,5.00476522,-32.4218209725,0.051742497500001004
mp-1184100,Dy3Er,L1$_2$,Dy,Er,3.0,1.0,5.00359664,-32.4186028775,0.049108332916667004
mp-11388,GaIr,B2,Ga,Ir,1.0,1.0,3.02850068,-32.35740003,0.0
mp-1187699,Tm3In,L1$_2$,Tm,In,3.0,1.0,4.7579436,-32.31418502,0.014337195000003002
mp-1183834,CeHo3,L1$_2$,Ce,Ho,1.0,3.0,5.022379,-32.30270114,0.06846398625000201
mp-1183183,AcY3,L1$_2$,Ac,Y,1.0,3.0,5.2396471,-32.2995014425,0.095069130624992
mp-377,LuRh,B2,Lu,Rh,1.0,1.0,3.32513661,-32.210870755,0.0
mp-1187306,Tb3Tm,L1$_2$,Tb,Tm,3.0,1.0,5.01690989,-32.1595319825,0.040555702500000006
mp-1031,GdCd,B2,Gd,Cd,1.0,1.0,3.75958674,-32.10776625,0.0
mp-1186587,PmHo3,L1$_2$,Pm,Ho,1.0,3.0,5.03332709,-32.0023455575,0.043815494375003004
mp-978094,NdHo3,L1$_2$,Nd,Ho,1.0,3.0,5.0515786570578385,-31.96962803,0.045882151875002004
mp-981546,PrHo3,L1$_2$,Pr,Ho,1.0,3.0,5.058704850759656,-31.95945094,0.052546088333333005
mp-1187053,Sm3Eu,L1$_2$,Sm,Eu,3.0,1.0,5.128426,-31.8626481825,0.06726573625
mp-1187281,Tb3Er,L1$_2$,Tb,Er,3.0,1.0,5.0229958,-31.858207665,0.042976739166665
mp-11256,ScAu,B2,Sc,Au,1.0,1.0,3.3904722400000002,-31.848781595,0.0
mp-1186278,Nd3Eu,L1$_2$,Nd,Eu,3.0,1.0,5.26660533,-31.61139531,0.08233210562500301
mp-20849,Pd3Pb,L1$_2$,Pd,Pb,3.0,1.0,4.07925891,-31.594734065,0.0
mp-1186275,Nd3Lu,L1$_2$,Nd,Lu,3.0,1.0,5.12666892,-31.5552117375,0.029125656250005003
mp-2205,LuPd,B2,Lu,Pd,1.0,1.0,3.40962722,-31.53158071,0.0
mp-1184488,In3Bi,L1$_2$,In,Bi,3.0,1.0,4.8507611,-31.5152750225,0.0800298925
mp-567116,YbRu,B2,Yb,Ru,1.0,1.0,3.319893287895696,-31.48225847,0.0
mp-567089,YbRh,B2,Yb,Rh,1.0,1.0,3.339806330035307,-31.423108105,0.0
mp-867816,TaRu3,L1$_2$,Ta,Ru,1.0,3.0,3.8775377700113274,-31.4207273,0.056707089166664004
mp-20365,NpGe3,L1$_2$,Np,Ge,1.0,3.0,4.24441972,-31.4182884725,0.0
mp-1184156,Er3In,L1$_2$,Er,In,3.0,1.0,4.77974619,-31.4160641525,0.017236492916666003
mp-1186552,PmDy3,L1$_2$,Pm,Dy,1.0,3.0,5.05363758,-31.33337831,0.038127224375003
mp-975388,NdDy3,L1$_2$,Nd,Dy,1.0,3.0,5.065442564065929,-31.3012021525,0.039652511875001004
mp-976138,PrDy3,L1$_2$,Pr,Dy,1.0,3.0,5.07739571,-31.29122377,0.046117740833338
mp-10015,SiOs,B2,Si,Os,1.0,1.0,2.937789,-31.24484964,0.027129491249997
mp-980001,YbPr3,L1$_2$,Yb,Pr,1.0,3.0,5.169693730800617,-31.156899315,0.028412657500002002
mp-1524257,EuIn,B2,Eu,In,1.0,1.0,3.9554687,-31.151818875,0.0
mp-1183737,Ce3Dy,L1$_2$,Ce,Dy,3.0,1.0,4.863452,-31.026856585000004,0.09906579124999801
mp-1020,TaRh3,L1$_2$,Ta,Rh,1.0,3.0,3.86978351,-30.88891147,0.0
mp-11471,ScHg,B2,Sc,Hg,1.0,1.0,3.50559208,-30.864973335,0.0
mp-1019052,ReN,B2,Re,N,3.0,3.0,4.05462137,-30.778266415,0.050731488749999006
mp-2547,YbPd,B2,Yb,Pd,1.0,1.0,3.424384549639122,-30.7475568,0.010346364999996001
mp-972539,Sm3Er,L1$_2$,Sm,Er,3.0,1.0,5.092112570053503,-30.7446031725,0.036448859166668006
mp-569785,TlPd3,L1$_2$,Tl,Pd,1.0,3.0,4.06539534,-30.7165175375,0.035740123749999006
mp-1186120,NpCo3,L1$_2$,Np,Co,1.0,3.0,3.76011831,-30.6717495575,0.06966032499999701
mp-2861,CaTl,B2,Ca,Tl,1.0,1.0,3.8654897200000002,-30.6214504,0.0
mp-1885,AlIr,B2,Al,Ir,1.0,1.0,2.99455485,-30.61632865,0.0
mp-977585,Zr3Tl,L1$_2$,Zr,Tl,3.0,1.0,4.47389973,-30.5156798525,0.0
mp-978949,Sm3Ho,L1$_2$,Sm,Ho,3.0,1.0,5.099058110313513,-30.4855860075,0.035891361250001
mp-1185604,LaCe3,L1$_2$,La,Ce,1.0,3.0,4.7826167,-30.468820795,0.097845826250001
mp-1185427,Lu3Al,L1$_2$,Lu,Al,3.0,1.0,4.62654991,-30.465055115,0.014231470000002001
mp-875,AlOs,B2,Al,Os,1.0,1.0,2.99791198,-30.3487953,0.012587037500004
mp-972502,Sm3Dy,L1$_2$,Sm,Dy,3.0,1.0,5.141266451988548,-30.2922527375,0.002891308750001
