material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
mp-1837,TbCu,Tb,Cu,1.0,1.0,3.45550647,-21.29018046,0.0,MP,B2,3.4201882921284272
mp-2474,YAg,Y,Ag,1.0,1.0,3.62505055,-21.162151485,0.0,MP,B2,3.6177362577844345
mp-2303,DyZn,Dy,Zn,1.0,1.0,3.54500656,-20.83574144,0.0,MP,B2,3.5157967485846413
mp-2642,CdAg,Cd,Ag,1.0,1.0,3.3527165,-20.783473355,0.0,MP,B2,3.403630210538463
mp-12586,SmCu,Sm,Cu,1.0,1.0,3.52157544,-20.474329405,0.031348156249999,MP,B2,3.525947401041123
mp-2540,VTc,V,Tc,1.0,1.0,3.00911852,-20.465614505,0.0,MP,B2,3.024585132965749
mp-836,TbZn,Tb,Zn,1.0,1.0,3.56256554,-20.453721725,0.0,MP,B2,3.5267330691351764
mp-1009207,MnSb,Mn,Sb,1.0,1.0,3.366446,-20.169230395,0.329182557500001,MP,B2,3.3987141918513912
mp-1395,VRu,V,Ru,1.0,1.0,3.00228092,-20.063952405,0.0,MP,B2,2.941042247942159
mp-592,TiRu,Ti,Ru,1.0,1.0,3.06957001,-20.02088589,0.0,MP,B2,3.0647542004944985
mp-11573,TiTc,Ti,Tc,1.0,1.0,3.09447244,-19.96990951,0.0,MP,B2,3.1482970855180885
mp-417,MnRh,Mn,Rh,1.0,1.0,3.02748965,-19.9055442,0.0,MP,B2,2.958888273118599
mp-11843,DyAl,Dy,Al,1.0,1.0,3.5835634,-19.80113393,0.038093063749999004,MP,B2,3.5332194656788465
mp-1505,TmMg,Tm,Mg,1.0,1.0,3.74697045,-19.71981316,0.0,MP,B2,3.6913522683478037
mp-2615,LaZn,La,Zn,1.0,1.0,3.75622244,-19.653037825,0.0,MP,B2,3.7400920297049423
mp-1009206,MnSn,Mn,Sn,1.0,1.0,3.43411701,-19.582523745,0.13223548275862002,MP,B2,3.379993825337859
mp-1009839,TbAl,Tb,Al,1.0,1.0,3.601771,-19.423504585,0.041335158125001006,MP,B2,3.544155786229381
mp-1006884,CoMo,Co,Mo,1.0,1.0,2.999743999999999,-19.362013034166665,0.291092250833333,MP,B2,2.9997440474712582
mp-12983,ScSb,Sc,Sb,1.0,1.0,3.629322,-19.334802625000002,0.321589185,MP,B2,3.6595193264108947
mp-10879,CeAl,Ce,Al,1.0,1.0,3.673359,-19.077609944,0.10427106999999901,MP,B2,3.6331085472160454
mp-16732,YAs,Y,As,1.0,1.0,3.586772,-18.844668154999997,0.48401536500000103,MP,B2,3.599881118409345
mp-22320,GaRu,Ga,Ru,1.0,1.0,3.00143839,-18.765810315,0.000531018749999,MP,B2,3.004766594377445
mp-11221,SmAl,Sm,Al,1.0,1.0,3.6711043,-18.646371765,0.055769306874999,MP,B2,3.6052158362293807
mp-1206765,ScSn,Sc,Sn,1.0,1.0,3.615426,-18.569703934107142,0.17333165196428602,MP,B2,3.6407989598973627
mp-12793,NdAl,Nd,Al,1.0,1.0,3.7263835,-18.46392349,0.06650961875,MP,B2,3.656926570064252
mp-10902,PrAl,Pr,Al,1.0,1.0,3.75961349,-18.43215457,0.076994012499998,MP,B2,3.6785519157079967
mp-11546,TiPd,Ti,Pd,1.0,1.0,3.1758,-18.4297401525,0.07338960750000101,MP,B2,3.14245655352101
mp-2283,ZrCo,Zr,Co,1.0,1.0,3.20778392,-18.32247491,0.0,MP,B2,3.15914135453988
mp-2781,ScPd,Sc,Pd,1.0,1.0,3.299466299999999,-18.088092175,0.0,MP,B2,3.290897672060635
mp-1212609,GaPd,Ga,Pd,1.0,1.0,3.120572,-17.778349877500002,0.08591318124999901,MP,B2,3.0824689474039575
mp-381,SiRu,Si,Ru,1.0,1.0,2.91612407,-17.74599759,0.007685002499997,MP,B2,2.9393835000710085
mp-1062,CeMg,Ce,Mg,1.0,1.0,3.838721999999999,-17.435518636666664,0.105839761666668,MP,B2,3.845793636377479
mp-20997,InNi,In,Ni,1.0,1.0,3.147263,-17.401172029999998,0.09218754000000101,MP,B2,3.157349837461036
mp-1018029,CuPd,Cu,Pd,1.0,1.0,2.98041717,-17.02697661,0.0,MP,B2,2.9591507603513327
mp-10110,SiRh,Si,Rh,1.0,1.0,2.983008,-17.011847034999995,0.28401919625000305,MP,B2,2.945881588714988
mp-6938,ZnRh,Zn,Rh,1.0,1.0,2.99022635,-16.94872661,0.0,MP,B2,2.997554896856068
mp-542569,AlRu,Al,Ru,1.0,1.0,2.98249544,-16.806725945,0.0,MP,B2,3.008479525306293
mp-11237,ScAg,Sc,Ag,1.0,1.0,3.42110253,-16.640555495,0.0,MP,B2,3.4195398578339224
mp-364,AlRh,Al,Rh,1.0,1.0,2.97732247,-16.61165009,0.0,MP,B2,3.014977613950273
mp-1002183,TcB,Tc,B,1.0,1.0,2.733406,-16.55091074409091,0.5208401765909081,MP,B2,2.63707031327286
mp-11478,GaAg,Ga,Ag,1.0,1.0,3.317227,-16.326017033541667,0.088552712291665,MP,B2,3.2111111331772446
mp-999484,YTi,Y,Ti,1.0,1.0,3.658092,-16.261203656666666,0.36447533000000104,MP,B2,3.5982051790462
mp-570276,ZrZn,Zr,Zn,1.0,1.0,3.3232991800000002,-16.1562511,0.0,MP,B2,3.3603089325111664
mp-1211,ScCd,Sc,Cd,1.0,1.0,3.52625559,-16.075965005,0.0,MP,B2,3.5325402503398533
mp-712,YCu,Y,Cu,1.0,1.0,3.45811539,-15.80720536,0.018895730000000003,MP,B2,3.41633399
mp-829,AlPd,Al,Pd,1.0,1.0,3.05052548,-15.74408449,0.037793284999999004,MP,B2,3.086181878332805
mp-213,CaPd,Ca,Pd,1.0,1.0,3.50568548,-15.644829405,0.006872011666665001,MP,B2,3.5406811788151407
mp-20263,CaIn,Ca,In,1.0,1.0,3.84336532,-15.37121027,0.020320988749999002,MP,B2,3.819033294088487
mp-1912,ZnAg,Zn,Ag,1.0,1.0,3.14233597,-15.157611235,0.011211470555556002,MP,B2,3.197401347011888
mp-2516,YZn,Y,Zn,1.0,1.0,3.56236652,-14.99925985,0.0,MP,B2,3.524507786763791
mp-316,MnV,Mn,V,1.0,1.0,2.85576869,-14.58459444,0.0,MP,B2,3.0154916919838453
mp-12982,ScAs,Sc,As,1.0,1.0,3.395698,-14.155204455,0.48348137500000005,MP,B2,3.401684718458833
mp-1010071,CrCo,Cr,Co,1.0,1.0,2.8512049999999993,-14.000225657499998,0.15356110250000102,MP,B2,2.876001483575171
mp-11229,YAl,Y,Al,1.0,1.0,3.59888669,-13.96068374,0.030594507500000003,MP,B2,3.5419305038579956
mp-1002109,VCo,V,Co,1.0,1.0,2.89042773,-13.81094857,0.0,MP,B2,2.8529907377500283
