material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,lattice_constant_calc
oqmd-304580,NdRh,B2,Nd,Rh,1,1,3.541173,-0.6345187875,0.040711992500000016,OQMD,3.5669480962629403
oqmd-304897,PrSn,B2,Pr,Sn,1,1,3.919354,-0.632091487175601,0.20521556500000093,OQMD,3.927920926270585
oqmd-306493,NdSn,B2,Nd,Sn,1,1,3.895076,-0.630795325925601,0.20424844750000004,OQMD,3.9070106605058803
oqmd-305976,PmSn,B2,Pm,Sn,1,1,3.871465,-0.630392219675601,0.20353216250000006,OQMD,3.887206621191161
oqmd-307314,CeSn,B2,Ce,Sn,1,1,3.949307,-0.629861847175602,0.19866567999999918,OQMD,3.9500185933227625
oqmd-307534,HfPd,B2,Hf,Pd,1,1,3.318297,-0.629362672500001,0.059480112499999294,OQMD,3.2821814048573037
oqmd-306086,LaGe,B2,Ge,La,1,1,3.754114,-0.625635042500001,0.22722582749999964,OQMD,3.738897790802192
oqmd-305388,PaIr,B2,Ir,Pa,1,1,3.458618,-0.623476334999999,0.2731564150000012,OQMD,3.3778853151996344
oqmd-307482,SmSn,B2,Sm,Sn,1,1,3.855876,-0.622458667175601,0.2011498774999999,OQMD,3.874992364142578
oqmd-306365,YbHg,B2,Hg,Yb,1,1,3.725572,-0.620115022483134,0.0,OQMD,3.8320073893349016
oqmd-304663,AcSn,B2,Ac,Sn,1,1,4.099945,-0.619899792175601,0.0647760625150896,OQMD,4.057827803473396
oqmd-307722,MgAu,B2,Au,Mg,1,1,3.289083,-0.616416459583335,0.00018728249999977464,OQMD,3.4276292619152318
oqmd-306131,BeRh,B2,Be,Rh,1,1,2.785329,-0.61603675,1.1344999999995942e-05,OQMD,2.788672667631687
oqmd-305856,AlCo,B2,Al,Co,1,1,2.845739,-0.61409658,5.928499999985348e-05,OQMD,2.9778718842404945
oqmd-306206,ScSb,B2,Sb,Sc,1,1,3.609857,-0.613425315,0.329907835,OQMD,3.6461628693714934
oqmd-305978,YSn,B2,Sn,Y,1,1,3.790934,-0.612708390925601,0.19732617499999994,OQMD,3.838847908339031
oqmd-307147,GdSn,B2,Gd,Sn,1,1,3.811097,-0.610966702175602,0.19444554499999933,OQMD,3.844597753336019
oqmd-306228,DyBi,B2,Bi,Dy,1,1,3.879359,-0.605586885833334,0.274246475,OQMD,3.9263541217920643
oqmd-306299,PmIr,B2,Ir,Pm,1,1,3.516687,-0.60469229125,0.048984057500000344,OQMD,3.535717094553947
