material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type
mp-1184461,Gd3Au,Gd,Au,3.0,1.0,4.802448,-45.48252883250001,0.13317960749999702,MP,L1$_2$
mp-1017542,ZrOs3,Zr,Os,1.0,3.0,3.996587,-45.48158320500001,0.284571726249993,MP,L1$_2$
mp-1187638,Tl3In,Tl,In,3.0,1.0,4.9128728299999995,-45.4758496675,0.05327636250000001,MP,L1$_2$
mp-30858,ZrPt3,Zr,Pt,1.0,3.0,4.02496988,-45.425387065,0.016842564374996,MP,L1$_2$
mp-1183170,AlBi3,Al,Bi,1.0,3.0,4.887314,-45.32780088375,0.231929007499999,MP,L1$_2$
mp-1184771,Ir3Rh,Ir,Rh,3.0,1.0,3.840335849999999,-45.3219121125,0.006866324999997,MP,L1$_2$
mp-13100,MoPt3,Mo,Pt,1.0,3.0,3.979521,-45.28288025249999,0.14886324250000602,MP,L1$_2$
mp-2393,YTl3,Y,Tl,1.0,3.0,4.7308400299999995,-45.2637693725,0.0,MP,L1$_2$
mp-20971,SnPt3,Sn,Pt,1.0,3.0,4.02927876,-45.204039005,0.0,MP,L1$_2$
mp-1187490,Tl3Ag,Tl,Ag,3.0,1.0,4.810103,-45.11600863791666,0.10743908333333901,MP,L1$_2$
mp-979269,Tl3Cd,Tl,Cd,3.0,1.0,4.837151090000911,-44.8392726375,0.071452719999996,MP,L1$_2$
mp-2403,YPt3,Y,Pt,1.0,3.0,4.1003579,-44.7606417825,0.0,MP,L1$_2$
mp-20516,InPt3,In,Pt,1.0,3.0,4.01798329,-44.7003745175,0.0,MP,L1$_2$
mp-1184128,CuPb3,Cu,Pb,1.0,3.0,4.7603539999999995,-44.6708629875,0.254686595000002,MP,L1$_2$
mp-974395,Pt3Rh,Pt,Rh,3.0,1.0,3.9101831755850327,-44.666513225,0.018150764999994,MP,L1$_2$
mp-1186917,SbAu3,Sb,Au,1.0,3.0,4.314705,-44.26395999625,0.12720458843750002,MP,L1$_2$
mp-1206636,SrTl3,Sr,Tl,1.0,3.0,4.94518977,-43.965380115,0.029404816250000004,MP,L1$_2$
mp-30353,AgPt3,Ag,Pt,1.0,3.0,4.006844,-43.92456509833334,0.07138850416666201,MP,L1$_2$
mp-1185202,KPb3,K,Pb,1.0,3.0,5.101371,-43.85154064293586,0.068886191874995,MP,L1$_2$
mp-1187330,Tb3Np,Tb,Np,3.0,1.0,4.942461,-43.77477595250001,0.401102542812495,MP,L1$_2$
mp-973834,PdAu3,Pd,Au,1.0,3.0,4.07108259,-43.77047527,0.004613015000003,MP,L1$_2$
mp-863750,AgAu3,Ag,Au,1.0,3.0,4.12163154,-43.34257413,0.0,MP,L1$_2$
mp-1082,VIr3,V,Ir,1.0,3.0,3.81681618,-43.3339806325,0.015957168749999,MP,L1$_2$
mp-12083,CrIr3,Cr,Ir,1.0,3.0,3.81417244,-43.2963142925,0.0,MP,L1$_2$
mp-20555,NaPb3,Na,Pb,1.0,3.0,4.8973938100000005,-43.2741074525,0.0,MP,L1$_2$
mp-1187495,Tl3Ge,Tl,Ge,3.0,1.0,4.818523,-43.17601349374999,0.176459336250005,MP,L1$_2$
mp-980203,TiOs3,Ti,Os,1.0,3.0,3.887734,-43.16824605749999,0.21976455250000201,MP,L1$_2$
mp-1264,CdAu3,Cd,Au,1.0,3.0,4.16047153,-43.1078333,0.011046036249993,MP,L1$_2$
mp-1183703,CrRe3,Cr,Re,1.0,3.0,3.863547999999999,-42.943196704375,0.133099923750002,MP,L1$_2$
mp-1187482,Tl3V,Tl,V,3.0,1.0,4.655126,-42.8784056375,0.528466729999998,MP,L1$_2$
mp-1100771,TiTl3,Ti,Tl,1.0,3.0,4.600544,-42.8300670825,0.30014214916666704,MP,L1$_2$
mp-12107,TiPt3,Ti,Pt,1.0,3.0,3.92452764,-42.7729185075,0.0048638332142800006,MP,L1$_2$
mp-2515,CrPt3,Cr,Pt,1.0,3.0,3.8959526700000002,-42.726792215,0.0,MP,L1$_2$
mp-1005719,Sm3Np,Sm,Np,3.0,1.0,5.035356,-42.686044541250006,0.36970158156249505,MP,L1$_2$
mp-985300,AcEr3,Ac,Er,1.0,3.0,5.140364,-42.52809074125,0.075355486875004,MP,L1$_2$
mp-1186738,Pr3Np,Pr,Np,3.0,1.0,5.142927,-42.421045619999994,0.387974539062504,MP,L1$_2$
mp-1187519,Tl3Cu,Tl,Cu,3.0,1.0,4.716998,-42.3097831325,0.28639430249999903,MP,L1$_2$
mp-1183186,AsPt3,As,Pt,1.0,3.0,4.013829,-42.2699740884375,0.250463147187502,MP,L1$_2$
mp-1183210,AgHg3,Ag,Hg,1.0,3.0,4.504894,-42.251862691041666,0.11296148708333201,MP,L1$_2$
mp-1187498,Tl3Zn,Tl,Zn,3.0,1.0,4.8009889999999995,-41.97617554125,0.135953544999999,MP,L1$_2$
