composition,struct,a_exp,a_eq10_ss,delta_r,delta_sf_ss,delta_sf,delta_sf_signed,Omega_yang,n_elements,error_abs,n_pairs,n_missing_ss,n_missing_combined
Co-Cr-Fe-Ni,FCC,3.5695,3.567385769465858,1.2965418746916462,0.0024807449668442835,0.01452401787384984,-0.009628450398378273,5.874806291008653,4,0.0021142305341421697,6,5,0
Co-Cr-Fe-Ni,FCC,3.5741,3.5774092802308477,1.265554716419017,0.002485593119562079,0.017047230382079573,-0.013764013072446308,6.599048681155626,4,0.0033092802308476443,6,5,0
Co-Cr-Fe-Ni,FCC,3.573,3.572898684535437,1.2920999248854208,0.002761639851587358,0.01609525815881768,-0.011778875119215201,6.206350149363163,4,0.00010131546456282337,6,5,0
Co-Cr-Fe-Ni,FCC,3.5737,3.57304472870283,1.335862515809279,0.002764577871339039,0.015951913299849303,-0.009855222193283742,5.423751003647328,4,0.0006552712971701347,6,5,0
Co-Cr-Fe-Ni,FCC,3.5795,3.580655142399298,1.2772507075824306,0.0027207029470305935,0.01787656952110047,-0.013776116717797658,6.268083121285342,4,0.001155142399297926,6,5,0
Co-Cr-Fe-Ni,FCC,3.5704,3.5750415597642577,1.298123337592574,0.0023588499540575444,0.016244693397007973,-0.012029845342231678,6.034159349533361,4,0.004641559764257952,6,5,0
Co-Cr-Fe-Ni,FCC,3.5752,3.5749667437713453,1.3137358773084455,0.0029002637882729666,0.016595607180090458,-0.011346349444355199,5.804031883636401,4,0.00023325622865488782,6,5,0
Co-Cr-Fe-Ni,FCC,3.572,3.5721590239978216,1.3124100404166539,0.002593865617393417,0.0157149748321488,-0.010698732249363178,5.808941917568941,4,0.00015902399782152798,6,5,0
Co-Cr-Fe-Ni,FCC,3.5751,3.5771172286921438,1.2870702552613933,0.002567413709250451,0.016975887612876293,-0.012975140342209627,6.241093601317477,4,0.0020172286921438243,6,5,0
Co-Cr-Fe-Ni,FCC,3.5708,3.5662743123097815,1.3376345312901106,0.002930841888468956,0.014482596176294785,-0.007402718792608206,5.125202838430582,4,0.0045256876902186605,6,5,0
Co-Cr-Fe-Ni,FCC,3.5803,3.581701011849384,1.2376243628080021,0.002985184906823242,0.017904938238878284,-0.014357755040974534,6.804514107085446,4,0.0014010118493841262,6,5,0
Co-Cr-Fe-Ni,FCC,3.5767,3.5754697484271105,1.316258913807696,0.002645045953324967,0.01651904207043646,-0.01141434535675749,5.7683159459763775,4,0.0012302515728896957,6,5,0
Co-Cr-Fe-Ni,FCC,3.568,3.5690392081947304,1.259627912171326,0.0021795589352679085,0.01481513785285182,-0.01141089606361158,6.469910406925895,4,0.0010392081947303566,6,5,0
