label,seed,atom_index,element,V_vor_A3
Al-Nb,2,64,Al,16.843389192284583
Al-Nb,2,65,Nb,16.762085599097322
Al-Nb,2,66,Al,15.6674313656377
Al-Nb,2,67,Al,16.782653237025507
Al-Nb,2,68,Al,17.07699626047903
Al-Nb,2,69,Al,16.213789722115663
Al-Nb,2,70,Al,15.701407144569965
Al-Nb,2,71,Al,16.290723770880902
Al-Nb,2,72,Al,16.150886342268898
Al-Nb,2,73,Nb,18.636690027112717
Al-Nb,2,74,Nb,17.039288577141228
Al-Nb,2,75,Nb,17.440464918424126
Al-Nb,2,76,Nb,16.6034086196978
Al-Nb,2,77,Al,16.993418521598063
Al-Nb,2,78,Nb,17.75087356079196
Al-Nb,2,79,Al,16.718554583516227
Al-Nb,2,80,Nb,18.154948046623897
Al-Nb,2,81,Nb,17.893296898475995
Al-Nb,2,82,Al,17.658033129946446
Al-Nb,2,83,Al,17.149748213902313
Al-Nb,2,84,Al,15.856574724345453
Al-Nb,2,85,Nb,17.074435561478424
Al-Nb,2,86,Al,16.87021430218698
Al-Nb,2,87,Al,17.162900827341378
Al-Nb,2,88,Nb,17.74489416184809
Al-Nb,2,89,Al,16.250366794237685
Al-Nb,2,90,Nb,17.629183116640167
Al-Nb,2,91,Al,16.713289721182125
Al-Nb,2,92,Nb,17.914940013575357
Al-Nb,2,93,Nb,17.925582660575277
Al-Nb,2,94,Nb,18.345425403201027
Al-Nb,2,95,Nb,17.807625673476615
Al-Nb,2,96,Al,16.26587157890294
Al-Nb,2,97,Al,16.109760611036442
Al-Nb,2,98,Al,17.851423766100638
Al-Nb,2,99,Nb,17.912968912853472
Al-Nb,2,100,Al,16.27963093078349
Al-Nb,2,101,Nb,16.58227868787841
Al-Nb,2,102,Nb,18.36146227146998
Al-Nb,2,103,Nb,18.002192515420376
Al-Nb,2,104,Nb,18.325242253482866
Al-Nb,2,105,Nb,17.6796262238975
Al-Nb,2,106,Al,16.44212850787307
Al-Nb,2,107,Al,16.407769743979625
Al-Nb,2,108,Al,16.124346556815645
Al-Nb,2,109,Al,15.30433652760695
Al-Nb,2,110,Al,16.24107724792055
Al-Nb,2,111,Nb,18.298340467231366
Al-Nb,2,112,Nb,18.10133079561788
Al-Nb,2,113,Nb,18.46476332746627
Al-Nb,2,114,Nb,18.798039127961815
Al-Nb,2,115,Nb,18.68952229561854
Al-Nb,2,116,Al,16.78983348295781
Al-Nb,2,117,Nb,18.420106313285146
Al-Nb,2,118,Nb,18.548185270763586
Al-Nb,2,119,Al,16.49034260423548
Al-Nb,2,120,Nb,17.657296082528386
Al-Nb,2,121,Al,17.871902415946387
Al-Nb,2,122,Al,17.576580788676786
Al-Nb,2,123,Al,17.35969416109752
Al-Nb,2,124,Nb,17.46993935537077
Al-Nb,2,125,Nb,18.755251056722223
Al-Nb,2,126,Nb,18.136442911629985
Al-Nb,2,127,Nb,18.133348095505408
Al-Ti,0,0,Ti,16.670209193206116
Al-Ti,0,1,Al,16.539506816772324
Al-Ti,0,2,Ti,16.457761180351
Al-Ti,0,3,Al,16.36435424209058
Al-Ti,0,4,Ti,16.653683496250313
Al-Ti,0,5,Ti,16.563240373843207
Al-Ti,0,6,Ti,16.505197464414135
Al-Ti,0,7,Ti,16.427526903065726
Al-Ti,0,8,Ti,16.556370536960824
Al-Ti,0,9,Ti,16.641256418129622
Al-Ti,0,10,Ti,16.40707182155818
Al-Ti,0,11,Al,15.922327538196255
Al-Ti,0,12,Ti,16.371468708773936
Al-Ti,0,13,Al,16.938893999745822
Al-Ti,0,14,Al,17.016788924124878
