Element,r_pure,r_L12_maj,r_L12_min,r_B2,dr_L12_maj,dr_L12_min,dr_B2,asymmetry_L12
Cu,1.412712418206345,1.428090826926094,1.3682002407477893,1.4271763744420554,0.015378408719748826,-0.044512177458555735,0.014463956235710285,0.05989058617830456
Dy,1.960007319637871,1.8793233235277884,1.9510601742477327,1.9234702405686124,-0.08068399611008248,-0.00894714539013819,-0.036537079069258516,-0.07173685071994429
Er,1.9416063353551711,1.7346902454880218,1.7799194175533686,1.9006804483444342,-0.20691608986714938,-0.16168691780180255,-0.04092588701073696,-0.04522917206534682
Fe,1.4113554216028104,1.372652664777431,1.335921466006381,1.3364933045338325,-0.03870275682537927,-0.0754339555964294,-0.07486211706897783,0.03673119877105013
Ga,1.672019581917477,1.6138867871956164,1.651840781218002,1.601229911932841,-0.058132794721860614,-0.020178800699474975,-0.07078966998463598,-0.03795399402238564
Ge,1.7547862958334142,1.6352143309399672,1.5979390653557581,1.6164200141961313,-0.11957196489344701,-0.15684723047765603,-0.13836628163728282,0.037275265584209016
Hf,1.7464250978479678,1.7162347071624855,1.731937597621678,1.7075859761929442,-0.03019039068548235,-0.014487500226289862,-0.03883912165502368,-0.015702890459192487
In,1.841548000906085,1.8139805473069905,1.847348409333612,1.8050154053088643,-0.027567453599094405,0.0058004084275271595,-0.03653259559722066,-0.033367862026621564
Ir,1.500630450421227,1.481361308995277,1.5064919673412798,1.451228104961257,-0.01926914142594982,0.005861516920052878,-0.04940234545996991,-0.0251306583460027
La,2.070269390695367,1.9968513165190094,2.002260215858557,2.053247261810163,-0.07341807417635748,-0.0680091748368099,-0.017022128885203713,-0.005408899339547579
Mg,1.770309384051908,1.721199010683571,1.781147835695359,1.7260283962240681,-0.0491103733683369,0.010838451643450986,-0.044280987827839846,-0.05994882501178789
Mn,1.428485001664581,1.4144760516788282,1.3981998087350196,1.4259399074421761,-0.01400894998575275,-0.030285192929561333,-0.0025450942224047868,0.016276242943808583
Mo,1.5494853952179959,1.5495081868899425,1.478984207874408,1.5111238121108037,2.2791671946631453e-05,-0.0705011873435879,-0.038361583107192176,0.07052397901553453
Nb,1.6251155863008009,1.6298831242899958,1.6222648561087107,1.6047435606055023,0.0047675379891949365,-0.002850730192090145,-0.020372025695298612,0.007618268181285082
