material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
vasp-B1Gd1,BGd,B,Gd,1.0,1.0,3.2452419495805764,-10.138022395,,VASP,B2,3.2452419495805764
vasp-B1Ge1,BGe,B,Ge,1.0,1.0,2.9228258849935402,-4.138650265,,VASP,B2,2.9228258849935402
vasp-B1Hf1,BHf,B,Hf,1.0,1.0,2.9871330843243755,-8.180188595,,VASP,B2,2.9871330843243755
vasp-B1In1,BIn,B,In,1.0,1.0,3.2078934579400706,-3.21517737,,VASP,B2,3.2078934579400706
vasp-B1La1,BLa,B,La,1.0,1.0,3.404419786136072,-5.36011403,,VASP,B2,3.404419786136072
vasp-B1Mg1,BMg,B,Mg,1.0,1.0,2.9074897276929956,-3.282358575,,VASP,B2,2.9074897276929956
vasp-B1Mn1,BMn,B,Mn,1.0,1.0,2.5219034275620738,-7.908134005,,VASP,B2,2.5219034275620738
vasp-B1Mo1,BMo,B,Mo,1.0,1.0,2.7802494009901144,-8.58927803,,VASP,B2,2.7802494009901144
vasp-B1Na1,BNa,B,Na,1.0,1.0,3.1153391462922584,-2.44266965,,VASP,B2,3.1153391462922584
vasp-B1Nb1,BNb,B,Nb,1.0,1.0,2.8864103967031616,-8.198374435,,VASP,B2,2.8864103967031616
vasp-B1Ni1,BNi,B,Ni,1.0,1.0,2.518019533492723,-5.98066374,,VASP,B2,2.518019533492723
vasp-B1Pd1,BPd,B,Pd,1.0,1.0,2.775033950940212,-5.45724996,,VASP,B2,2.775033950940212
vasp-B1Ru1,BRu,B,Ru,1.0,1.0,2.6919956582510896,-7.938896295,,VASP,B2,2.6919956582510896
vasp-B1Sb1,BSb,B,Sb,1.0,1.0,3.2048103704864546,-3.90227283,,VASP,B2,3.2048103704864546
vasp-B1Sc1,BSc,B,Sc,1.0,1.0,2.9668940253707454,-6.46829852,,VASP,B2,2.9668940253707454
vasp-B1Se1,BSe,B,Se,1.0,1.0,3.009778141533924,-3.38504562,,VASP,B2,3.009778141533924
vasp-B1Si1,BSi,B,Si,1.0,1.0,2.7128817428326184,-4.849438835,,VASP,B2,2.7128817428326184
vasp-B1Sn1,BSn,B,Sn,1.0,1.0,3.1838090022248275,-3.81284322,,VASP,B2,3.1838090022248275
vasp-B1Sr1,BSr,B,Sr,1.0,1.0,3.502985922797984,-3.236777015,,VASP,B2,3.502985922797984
vasp-B1Ta1,BTa,B,Ta,1.0,1.0,2.87385186411768,-9.02485227,,VASP,B2,2.87385186411768
vasp-B1Tc1,BTc,B,Tc,1.0,1.0,2.722565189511297,-8.42934475,,VASP,B2,2.722565189511297
vasp-B1Ti1,BTi,B,Ti,1.0,1.0,2.789729048269537,-7.253577125,,VASP,B2,2.789729048269537
vasp-B1V1,BV,B,V,1.0,1.0,2.655729370674093,-7.74133697,,VASP,B2,2.655729370674093
vasp-B1W1,BW,B,W,1.0,1.0,2.7960596847628203,-9.461820415,,VASP,B2,2.7960596847628203
vasp-B1Y1,BY,B,Y,1.0,1.0,3.213599986841454,-6.338370555,,VASP,B2,3.213599986841454
vasp-B1Zn1,BZn,B,Zn,1.0,1.0,2.8077141448671137,-2.700727505,,VASP,B2,2.8077141448671137
vasp-B1Zr1,BZr,B,Zr,1.0,1.0,3.023261363527487,-7.50420677,,VASP,B2,3.023261363527487
vasp-Ca1Ag1,CaAg,Ca,Ag,1.0,1.0,3.7116972000361574,-2.667659625,,VASP,B2,3.7116972000361574
