dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir
La8Ru8,OK,0,0,0,static_OUTCAR,-110.3546082600,-110.3546175800,bcc,2.0,16,333.21014712,3.46637926,3.46637926,6.93275851,6.93275851,6.93275851,no,CLEANED:0,BCC_SQS,La8Ru8
La8Sc8,OK,0,0,0,static_OUTCAR,-87.2882094600,-87.2871247100,bcc,2.0,16,492.01445564,3.94726204,3.94726204,7.89452409,7.89452409,7.89452409,yes,CLEANED:0,BCC_SQS,La8Sc8
La8Si8,OK,0,0,0,static_OUTCAR,-87.5889717600,-87.5887660800,bcc,2.0,16,390.32214359,3.65407733,3.65407733,7.30815467,7.30815467,7.30815467,yes,CLEANED:0,BCC_SQS,La8Si8
La8Sn8,OK,0,0,0,static_OUTCAR,-77.4013867300,-77.4044103700,bcc,2.0,16,485.02023351,3.92846863,3.92846863,7.85693726,7.85693726,7.85693726,yes,CLEANED:0,BCC_SQS,La8Sn8
La8Ta8,OK,0,0,0,static_OUTCAR,-125.5444448800,-125.5439731900,bcc,2.0,16,382.82948761,3.63054478,3.63054478,7.26108957,7.26108957,7.26108957,yes,CLEANED:0,BCC_SQS,La8Ta8
La8Tb8,OK,0,0,0,static_OUTCAR,-74.1483663700,-74.1473784400,bcc,2.0,16,560.96725493,4.12365675,4.12365675,8.24731351,8.24731351,8.24731351,yes,CLEANED:0,BCC_SQS,La8Tb8
La8Ti8,OK,0,0,0,static_OUTCAR,-103.3202567800,-103.3189220400,bcc,2.0,16,409.18199981,3.71200750,3.71200750,7.42401499,7.42401499,7.42401499,yes,CLEANED:0,BCC_SQS,La8Ti8
La8V8,OK,0,0,0,static_OUTCAR,-104.2520713400,-104.2525299700,bcc,2.0,16,406.92799999,3.70517901,3.70517901,7.41035803,7.41035803,7.41035803,no,CLEANED:0,BCC_SQS,La8V8
La8Y8,OK,0,0,0,static_OUTCAR,-89.1067272700,-89.1048548000,bcc,2.0,16,564.65702477,4.13267814,4.13267814,8.26535628,8.26535628,8.26535628,yes,CLEANED:0,BCC_SQS,La8Y8
La8Zn8,OK,0,0,0,static_OUTCAR,-51.0628501000,-51.0629732100,bcc,2.0,16,418.97220320,3.74137932,3.74137932,7.48275864,7.48275864,7.48275864,yes,CLEANED:0,BCC_SQS,La8Zn8
La8Zr8,OK,0,0,0,static_OUTCAR,-103.8616450700,-103.8611186400,bcc,2.0,16,449.91055109,3.83129327,3.83129327,7.66258655,7.66258655,7.66258655,yes,CLEANED:0,BCC_SQS,La8Zr8
Mg12Mn4,OK,0,0,0,static_OUTCAR,-51.0502668200,-51.0505694400,bcc,2.0,16,317.11572228,3.40964577,3.40964577,6.81929154,6.81929154,6.81929154,yes,CLEANED:0,BCC_SQS,Mg12Mn4
Mg12Mo4,OK,0,0,0,static_OUTCAR,-58.2975309200,-58.2975591700,bcc,2.0,16,298.11050077,3.34012276,3.34012276,6.68024552,6.68024552,6.68024552,yes,CLEANED:0,BCC_SQS,Mg12Mo4
Mg12Nb4,OK,0,0,0,static_OUTCAR,-55.4953844300,-55.4954324800,bcc,2.0,16,322.61632309,3.42924713,3.42924713,6.85849425,6.85849425,6.85849425,yes,CLEANED:0,BCC_SQS,Mg12Nb4
Mg12Ni4,OK,0,0,0,static_OUTCAR,-39.8053200700,-39.8044678500,bcc,2.0,16,318.67200000,3.41521440,3.41521440,6.83042880,6.83042880,6.83042880,yes,CLEANED:0,BCC_SQS,Mg12Ni4
Mg12Os4,OK,0,0,0,static_OUTCAR,-60.2971608700,-60.2959445500,bcc,2.0,16,276.31815625,3.25666544,3.25666544,6.51333088,6.51333088,6.51333088,yes,CLEANED:0,BCC_SQS,Mg12Os4
Mg12Pb4,OK,0,0,0,static_OUTCAR,-32.1290490000,-32.1270798300,bcc,2.0,16,403.86032328,3.69584487,3.69584487,7.39168974,7.39168974,7.39168974,yes,CLEANED:0,BCC_SQS,Mg12Pb4
Mg12Pd4,OK,0,0,0,static_OUTCAR,-43.9642183200,-43.9652430500,bcc,2.0,16,298.60606819,3.34197257,3.34197257,6.68394514,6.68394514,6.68394514,yes,CLEANED:0,BCC_SQS,Mg12Pd4
Mg12Pt4,OK,0,0,0,static_OUTCAR,-48.6848289700,-48.6848389600,bcc,2.0,16,290.16852453,3.31019393,3.31019393,6.62038786,6.62038786,6.62038786,yes,CLEANED:0,BCC_SQS,Mg12Pt4
Mg12Re4,OK,0,0,0,static_OUTCAR,-64.3202114600,-64.3223676600,bcc,2.0,16,281.92586073,3.27854873,3.27854873,6.55709745,6.55709745,6.55709745,yes,CLEANED:0,BCC_SQS,Mg12Re4
Mg12Rh4,OK,0,0,0,static_OUTCAR,-50.1328148300,-50.1323240700,bcc,2.0,16,284.56248718,3.28873758,3.28873758,6.57747515,6.57747515,6.57747515,yes,CLEANED:0,BCC_SQS,Mg12Rh4
Mg12Ru4,OK,0,0,0,static_OUTCAR,-53.7744975000,-53.7733463100,bcc,2.0,16,280.82472243,3.27427474,3.27427474,6.54854947,6.54854947,6.54854947,yes,CLEANED:0,BCC_SQS,Mg12Ru4
Mg12Sc4,OK,0,0,0,static_OUTCAR,-42.8305476800,-42.8284515100,bcc,2.0,16,370.91542128,3.59248503,3.59248503,7.18497007,7.18497007,7.18497007,yes,CLEANED:0,BCC_SQS,Mg12Sc4
Mg12Si4,OK,0,0,0,static_OUTCAR,-37.9733893700,-37.9746922900,bcc,2.0,16,323.77608155,3.43335143,3.43335143,6.86670285,6.86670285,6.86670285,yes,CLEANED:0,BCC_SQS,Mg12Si4
Mg12Sn4,OK,0,0,0,static_OUTCAR,-33.7714050400,-33.7720233800,bcc,2.0,16,382.44950467,3.62934320,3.62934320,7.25868641,7.25868641,7.25868641,yes,CLEANED:0,BCC_SQS,Mg12Sn4
Mg12Ta4,OK,0,0,0,static_OUTCAR,-61.2152208600,-61.2153921100,bcc,2.0,16,319.47770363,3.41809023,3.41809023,6.83618045,6.83618045,6.83618045,yes,CLEANED:0,BCC_SQS,Mg12Ta4
Mg12Tb4,OK,0,0,0,static_OUTCAR,-36.2846188900,-36.2861141400,bcc,2.0,16,409.72899555,3.71366083,3.71366083,7.42732167,7.42732167,7.42732167,yes,CLEANED:0,BCC_SQS,Mg12Tb4
Mg12Ti4,OK,0,0,0,static_OUTCAR,-46.8880180000,-46.8852966200,bcc,2.0,16,330.09126863,3.45553012,3.45553012,6.91106025,6.91106025,6.91106025,yes,CLEANED:0,BCC_SQS,Mg12Ti4
Mg12V4,OK,0,0,0,static_OUTCAR,-50.0735243700,-50.0744975700,bcc,2.0,16,321.49558355,3.42527156,3.42527156,6.85054311,6.85054311,6.85054311,yes,CLEANED:0,BCC_SQS,Mg12V4
Mg12W4,OK,0,0,0,static_OUTCAR,-64.8190805800,-64.8189365000,bcc,2.0,16,295.53954110,3.33049308,3.33049308,6.66098616,6.66098616,6.66098616,yes,CLEANED:0,BCC_SQS,Mg12W4
Mg12Y4,OK,0,0,0,static_OUTCAR,-43.8556397500,-43.8565437500,bcc,2.0,16,409.83429533,3.71397894,3.71397894,7.42795788,7.42795788,7.42795788,yes,CLEANED:0,BCC_SQS,Mg12Y4
Mg12Zn4,OK,0,0,0,static_OUTCAR,-22.3082102000,-22.3090803800,bcc,2.0,16,328.25785299,3.44912059,3.44912059,6.89824119,6.89824119,6.89824119,yes,CLEANED:0,BCC_SQS,Mg12Zn4
Mg12Zr4,OK,0,0,0,static_OUTCAR,-50.7866929900,-50.7861908700,bcc,2.0,16,359.51129516,3.55528307,3.55528307,7.11056613,7.11056613,7.11056613,yes,CLEANED:0,BCC_SQS,Mg12Zr4
Mg4Mn12,OK,0,0,0,static_OUTCAR,-109.1489841800,-109.1488362200,bcc,2.0,16,201.81261513,2.93282472,2.93282472,5.86564943,5.86564943,5.86564943,no,CLEANED:0,BCC_SQS,Mg4Mn12
Mg4Mo12,OK,0,0,0,static_OUTCAR,-133.4841743900,-133.4848952100,bcc,2.0,16,257.26329693,3.18001583,3.18001583,6.36003165,6.36003165,6.36003165,yes,CLEANED:0,BCC_SQS,Mg4Mo12
Mg4Nb12,OK,0,0,0,static_OUTCAR,-124.5387360200,-124.5384872900,bcc,2.0,16,297.11593926,3.33640416,3.33640416,6.67280833,6.67280833,6.67280833,yes,CLEANED:0,BCC_SQS,Mg4Nb12
Mg4Ni12,OK,0,0,0,static_OUTCAR,-71.5406940200,-71.5376803300,bcc,2.0,16,194.02170716,2.89458814,2.89458814,5.78917628,5.78917628,5.78917628,yes,CLEANED:0,BCC_SQS,Mg4Ni12
Mg4Os12,OK,0,0,0,static_OUTCAR,-134.3628315800,-134.3610668000,bcc,2.0,16,238.14334977,3.09919919,3.09919919,6.19839839,6.19839839,6.19839839,yes,CLEANED:0,BCC_SQS,Mg4Os12
Mg4Pb12,OK,0,0,0,static_OUTCAR,-48.2482193200,-48.2503586100,bcc,2.0,16,485.25744343,3.92910896,3.92910896,7.85821793,7.85821793,7.85821793,yes,CLEANED:0,BCC_SQS,Mg4Pb12
