material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,lattice_constant_calc
oqmd-304814,PmTi,B2,Pm,Ti,1,1,3.643142,0.337218361856868,0.337218361856868,OQMD,3.6503276979506425
oqmd-306946,PuBe,B2,Be,Pu,1,1,3.314899,0.337223654999999,0.3962737945917905,OQMD,3.108176114158508
oqmd-306098,ReNi,B2,Ni,Re,1,1,2.938842,0.337241087500001,0.422868892279438,OQMD,2.845505411775049
oqmd-306963,SiAu,B2,Au,Si,1,1,3.265319,0.3374737575,0.38543543750000026,OQMD,3.233802696249072
oqmd-304421,ScNb,B2,Nb,Sc,1,1,3.409151,0.3389169375,0.3389169375,OQMD,3.439937412898983
oqmd-306129,LuCr,B2,Cr,Lu,1,1,3.435427,0.3394066875,0.3394066875,OQMD,3.423255877834634
oqmd-307375,CoW,B2,Co,W,1,1,2.985576,0.339891345,0.40202545031067016,OQMD,2.864134414153255
oqmd-305783,TbOs,B2,Os,Tb,1,1,3.417758,0.340745757666665,0.3956565369583322,OQMD,3.4407539705775614
oqmd-304853,LuHf,B2,Hf,Lu,1,1,3.692904,0.34230444,0.34230444,OQMD,3.666730200634073
oqmd-306617,AcTh,B2,Ac,Th,1,1,4.225248,0.342830651249999,0.342830651249999,OQMD,4.250846344329468
oqmd-305668,CdIr,B2,Cd,Ir,1,1,3.240553,0.34286815,0.38650918019867675,OQMD,3.196705982553224
oqmd-304943,CoRe,B2,Co,Re,1,1,2.955091,0.3429717525,0.4217817824999996,OQMD,2.788166895944374
oqmd-307264,YbTh,B2,Th,Yb,1,1,4.077641,0.34309608,0.34309608,OQMD,3.970493998548266
oqmd-306042,SrTm,B2,Sr,Tm,1,1,4.259654,0.344193575,0.344193575,OQMD,4.1188628972472685
oqmd-304733,MoRu,B2,Mo,Ru,1,1,3.112746,0.34425034,0.38137271351894536,OQMD,2.958597025580022
oqmd-307397,BaY,B2,Ba,Y,1,1,4.42258,0.3449632275,0.3449632275,OQMD,4.276974339711373
oqmd-306232,GaRe,B2,Ga,Re,1,1,3.076145,0.345107715,0.41525400687499997,OQMD,3.12279296676212
oqmd-305508,NdTi,B2,Nd,Ti,1,1,3.659878,0.346340180606868,0.346340180606868,OQMD,3.6724266979506535
oqmd-307755,TcPt,B2,Pt,Tc,1,1,3.125066,0.3478787925,0.5673612204449247,OQMD,2.935972620386784
