directory,type,element_A,element_B,lattice_constant_A,energy_per_atom,magnetization
Be1Ti1,B2,Be,Ti,2.931124565164617,-5.9243445,-8e-07
Be1V1,B2,Be,V,2.7924722922544647,-6.327672,-1.3e-06
Be1W1,B2,Be,W,2.896289080102865,-8.027652,-1.1e-06
Be1Y1,B2,Be,Y,3.41602152651471,-5.0097115,1.2e-06
Be1Zn1,B2,Be,Zn,2.8300350553666083,-2.19371765,-5.7e-06
Be1Zr1,B2,Be,Zr,3.161356028185762,-6.247372,-6.5e-06
Ca1Ag1,B2,Ca,Ag,3.7116972000361574,-2.66765965,-7e-07
Ca1Al1,B2,Ca,Al,3.707842202972879,-3.010061,-4.7e-06
Ca1As1,B2,Ca,As,3.638557960549903,-4.11901035,8.5e-06
Ca1Au1,B2,Ca,Au,3.647292925075242,-3.36012305,-2.1e-06
Ca1B1,B2,Ca,B,3.2628191563808,-3.5914395,3.8e-06
Ca1Be1,B2,Ca,Be,3.522154583475306,-2.4210048,-9e-07
Ca1Ca1,B2,Ca,Ca,4.383829301251642,-1.90153395,1e-06
Ca1Cd1,B2,Ca,Cd,3.820417667491742,-1.71626555,5e-07
Ca1Ce1,B2,Ca,Ce,4.154843556267678,-3.503712,-0.0294685
Ca1Co1,B2,Ca,Co,3.3862085015987327,-3.9197998,-0.0003498
Ca1Cr1,B2,Ca,Cr,3.789810059913947,-4.979394,-4.6291976
Ca1Cu1,B2,Ca,Cu,3.560380043177237,-2.9072911,-5e-07
Ca1Dy1,B2,Ca,Dy,4.130257436183856,-3.0473828,3e-07
Ca1Er1,B2,Ca,Er,4.107388528740841,-3.0049246,-6e-06
Ca1Fe1,B2,Ca,Fe,3.5523897541176064,-4.4017951,-2.4023225
Ca1Ga1,B2,Ca,Ga,3.6741640453336153,-2.83901735,-2.5e-06
Ca1Gd1,B2,Ca,Gd,4.167895491276151,-7.831894,-7.5554643
Ca1Ge1,B2,Ca,Ge,3.6684179217785555,-3.7286222,9e-07
Ca1Hf1,B2,Ca,Hf,3.819631323718997,-5.1777695,7e-06
Ca1In1,B2,Ca,In,3.8753643933255426,-2.6899977,5.5e-06
Ca1Ir1,B2,Ca,Ir,3.4158310513735826,-5.3988915,-3.4e-06
Ca1La1,B2,Ca,La,4.294808951527061,-3.2927383,0.000136
Ca1Mg1,B2,Ca,Mg,3.9597181115355706,-1.7973824,1.35e-05
Ca1Mn1,B2,Ca,Mn,3.692153017130308,-4.9175915,-3.7905868
Ca1Mo1,B2,Ca,Mo,3.6157097165279786,-5.101005,2.3668711
Ca1Na1,B2,Ca,Na,4.265853618851984,-1.54766355,-6e-07
Ca1Nb1,B2,Ca,Nb,3.673301287564331,-4.8934913,0.7184329
Ca1Ni1,B2,Ca,Ni,3.420309365884341,-3.6935231,7e-07
Ca1Os1,B2,Ca,Os,3.4178249404660472,-5.6216185,1.03e-05
Ca1Pb1,B2,Ca,Pb,3.9545522274889504,-3.26361435,-1e-07
Ca1Pd1,B2,Ca,Pd,3.5198397979794365,-4.27196105,-0.0
Ca1Pt1,B2,Ca,Pt,3.4978383018225383,-4.8554549,1.7e-06
Ca1Re1,B2,Ca,Re,3.4954929195220923,-5.7080375,1.6964658
Ca1Rh1,B2,Ca,Rh,3.4262911049413862,-4.82804135,2e-07
Ca1Ru1,B2,Ca,Ru,3.4181932566553304,-4.99502405,3.05e-05
Ca1Sb1,B2,Ca,Sb,3.8782018251404327,-3.7688528,-1.17e-05
Ca1Sc1,B2,Ca,Sc,3.9731959961186214,-3.78749725,0.2778736
Ca1Se1,B2,Ca,Se,3.64700568104126,-4.4090945,-4e-07
Ca1Si1,B2,Ca,Si,3.6168916107344025,-3.9036307,-2e-07
Ca1Sn1,B2,Ca,Sn,3.8938319930793415,-3.46756645,-1.1e-06
Ca1Sr1,B2,Ca,Sr,4.555080351439244,-1.7408532,4.31e-05
Ca1Ta1,B2,Ca,Ta,3.6430750303407526,-5.546782,0.4855829
Ca1Tb1,B2,Ca,Tb,4.141987722361563,-3.0716392,-7e-07
Ca1Tc1,B2,Ca,Tc,3.487676891920147,-5.0956895,1.3197872
Ca1Ti1,B2,Ca,Ti,3.769399378304998,-4.0573494,1.6786085
Ca1V1,B2,Ca,V,3.7812753601262123,-4.5171404,4.3419347
Ca1W1,B2,Ca,W,3.517154449686732,-5.7192695,-1.89e-05
Ca1Y1,B2,Ca,Y,4.145457852742469,-4.00635115,6.9e-06
Ca1Zn1,B2,Ca,Zn,3.666332185075035,-1.7699054,-3e-07
Ca1Zr1,B2,Ca,Zr,3.854844197499542,-4.61752275,2.9e-06
Cd1Ag1,B2,Cd,Ag,3.3837028991202533,-1.8659447,1e-07
Cd1Al1,B2,Cd,Al,3.464276299862894,-2.026361,6.8e-06
Cd1As1,B2,Cd,As,3.4986617325254503,-2.4479721,-3e-06
Cd1B1,B2,Cd,B,3.105141957987849,-2.24871055,0.0016329
Cd1Ca1,B2,Cd,Ca,3.8203800325643877,-1.7162656,-1e-07
Cd1Cd1,B2,Cd,Cd,3.584003060023882,-0.7262462,-4e-07
Cd1Ce1,B2,Cd,Ce,3.8363177391649876,-3.4660443,1.3625726
Cd1Co1,B2,Cd,Co,3.124890332962847,-3.5119035,0.7842855
Cd1Cr1,B2,Cd,Cr,3.335261114963271,-4.63898565,3.7997935
Cd1Cu1,B2,Cd,Cu,3.200584068883823,-2.25655395,0.0
Cd1Fe1,B2,Cd,Fe,3.205302748159774,-4.09985845,2.8210645
Cd1Ga1,B2,Cd,Ga,3.499192114881254,-1.73028235,-2.74e-05
Cd1Gd1,B2,Cd,Gd,3.7707091331424087,-7.785269,-7.6056087
Cd1Ge1,B2,Cd,Ge,3.509354684355478,-2.4210438,3.2e-06
Cd1Hf1,B2,Cd,Hf,3.4747764687689164,-5.3004805,3.3e-06
Cd1In1,B2,Cd,In,3.7016306985966416,-1.5948671,-3e-07
Cd1La1,B2,Cd,La,3.9367461768811425,-3.14974945,0.3578597
Cd1Mg1,B2,Cd,Mg,3.5199257008715206,-1.23374135,5.5e-06
Cd1Mn1,B2,Cd,Mn,3.301684321411882,-4.6022503,3.8179649
Cd1Mo1,B2,Cd,Mo,3.2842577883898745,-5.0125005,0.4708783
Cd1Na1,B2,Cd,Na,3.734891704241073,-1.12318615,5.3e-06
Cd1Nb1,B2,Cd,Nb,3.3818741744528276,-4.99303965,-5e-07
Cd1Ni1,B2,Cd,Ni,3.132750185757104,-3.0795817,-2.4e-06
Cd1Pd1,B2,Cd,Pd,3.2822796202000695,-3.40541595,-0.0
Cd1Ru1,B2,Cd,Ru,3.237315331407408,-4.454948,1.1212281
Cd1Sb1,B2,Cd,Sb,3.715961469476514,-2.289189,6e-07
Cd1Sc1,B2,Cd,Sc,3.537430327110807,-3.82238775,6e-07
Cd1Se1,B2,Cd,Se,3.5564569950973928,-2.1591516,-0.0355183
