structure,element_A,element_B,selected_source,available_sources,n_entries,a_mean,a_cv,Omega_sf_King
B2,Cu,Mg,OQMD,OQMD+VASP,1,3.132589,,-0.122954
B2,Cu,Mn,OQMD,OQMD+VASP,1,2.957897,,0.077398
B2,Cu,Mo,OQMD,OQMD+VASP,1,3.022273,,0.00777
B2,Cu,Nb,OQMD,OQMD+VASP,1,3.119913,,0.019497
B2,Cu,Ni,OQMD,OQMD+VASP,1,2.823621,,-0.010493
B2,Cu,Os,OQMD,OQMD,1,2.952569,,-0.001842
B2,Cu,Pb,OQMD,OQMD,1,3.48104,,0.00121
B2,Cu,Pd,MP,MP+OQMD+VASP,1,2.980417,,-0.001934
B2,Cu,Pt,OQMD,OQMD,1,3.014264,,0.017913
B2,Cu,Re,OQMD,OQMD,1,2.969677,,-0.012536
B2,Cu,Rh,OQMD,OQMD,1,2.973042,,0.027956
B2,Cu,Ru,OQMD,OQMD+VASP,1,2.950111,,0.011594
B2,Cu,Sc,MP,MP+OQMD+VASP,1,3.240868,,-0.074936
B2,Cu,Sn,OQMD,OQMD+VASP,1,3.360581,,-0.023422
B2,Cu,Ta,OQMD,OQMD+VASP,1,3.111701,,0.010247
B2,Cu,Tb,MP,MP+OQMD,1,3.455506,,-0.060124
B2,Cu,Ti,MP,MP+OQMD+VASP,1,3.077148,,-0.01093
B2,Cu,V,OQMD,OQMD+VASP,1,2.947728,,-0.000815
B2,Cu,W,OQMD,OQMD+VASP,1,3.031095,,0.006808
B2,Cu,Y,MP,MP+OQMD+VASP,1,3.458115,,-0.077494
B2,Cu,Zn,MP,MP+OQMD+VASP,1,2.920554,,-0.077941
B2,Cu,Zr,MP,MP+OQMD+VASP,1,3.252664,,-0.019276
B2,Dy,Er,OQMD,OQMD,1,3.961614,,-0.0004
B2,Dy,Fe,OQMD,OQMD,1,3.398959,,-0.093455
B2,Dy,Hf,OQMD,OQMD,1,3.727752,,-0.038079
B2,Dy,Ir,OQMD,OQMD,1,3.419057,,-0.125318
B2,Dy,La,OQMD,OQMD,1,4.106225,,0.007676
B2,Dy,Mg,MP,MP+OQMD,1,3.782879,,-0.011799
B2,Dy,Mn,OQMD,OQMD,1,3.505773,,-0.015143
B2,Dy,Mo,OQMD,OQMD,1,3.496237,,-0.093079
B2,Dy,Nb,OQMD,OQMD,1,3.588324,,-0.066935
B2,Dy,Ni,OQMD,OQMD,1,3.36754,,-0.101033
B2,Dy,Os,OQMD,OQMD,1,3.402579,,-0.134532
B2,Dy,Pb,OQMD,OQMD,1,3.851144,,-0.07668
B2,Dy,Pd,MP,MP+OQMD,1,3.48461,,-0.085267
B2,Dy,Pt,OQMD,OQMD,1,3.483736,,-0.093383
B2,Dy,Re,OQMD,OQMD,1,3.433847,,-0.124588
B2,Dy,Rh,MP,MP+OQMD,1,3.402766,,-0.130127
B2,Dy,Ru,OQMD,OQMD,1,3.390973,,-0.135648
B2,Dy,Sc,OQMD,OQMD,1,3.799619,,-0.02957
B2,Dy,Sn,OQMD,OQMD,1,3.78158,,-0.077059
B2,Dy,Ta,OQMD,OQMD,1,3.586378,,-0.069129
B2,Dy,Tb,OQMD,OQMD,1,3.991836,,-0.000331
B2,Dy,Ti,OQMD,OQMD,1,3.612057,,-0.041933
B2,Dy,V,OQMD,OQMD,1,3.580003,,0.011437
B2,Dy,W,OQMD,OQMD,1,3.49555,,-0.09872
B2,Dy,Y,OQMD,OQMD,1,4.011915,,0.000242
B2,Dy,Zn,MP,MP+OQMD,1,3.545007,,-0.04699
B2,Dy,Zr,OQMD,OQMD,1,3.743699,,-0.042868
B2,Er,Fe,OQMD,OQMD,1,3.359358,,-0.106624
B2,Er,Hf,OQMD,OQMD,1,3.714185,,-0.032738
B2,Er,Ir,MP,MP+OQMD,1,3.371931,,-0.144515
B2,Er,La,OQMD,OQMD,1,4.091166,,0.00956
B2,Er,Mg,MP,MP+OQMD,1,3.760531,,-0.01336
B2,Er,Mn,OQMD,OQMD,1,3.473294,,-0.022603
B2,Er,Mo,OQMD,OQMD,1,3.460285,,-0.104038
B2,Er,Nb,OQMD,OQMD,1,3.568229,,-0.065923
B2,Er,Ni,OQMD,OQMD,1,3.316532,,-0.123103
B2,Er,Os,OQMD,OQMD,1,3.372968,,-0.14031
B2,Er,Pb,OQMD,OQMD,1,3.830733,,-0.078169
B2,Er,Pd,MP,MP+OQMD,1,3.453063,,-0.092624
B2,Er,Pt,OQMD,OQMD,1,3.455692,,-0.098083
B2,Er,Re,OQMD,OQMD,1,3.40804,,-0.127579
B2,Er,Rh,MP,MP+OQMD,1,3.367377,,-0.140283
B2,Er,Ru,OQMD,OQMD,1,3.362498,,-0.140473
B2,Er,Sc,OQMD,OQMD,1,3.782754,,-0.027292
B2,Er,Sn,OQMD,OQMD,1,3.757869,,-0.080501
B2,Er,Ta,OQMD,OQMD,1,3.569667,,-0.065485
B2,Er,Tb,OQMD,OQMD,1,3.972407,,-0.001041
B2,Er,Ti,OQMD,OQMD,1,3.596835,,-0.036762
B2,Er,V,OQMD,OQMD,1,3.550847,,0.00645
