year,title,authors,journal,volume,issue,pages,doi,type,cited_by,open_access,openalex_id,reason
2006,Fracture toughness and high temperature strength of unidirectionally solidified Nb–Si binary and Nb–Ti–Si ternary alloys,Nobuaki Sekido; Yoshisato Kimura; Seiji Miura; Fu-Gao Wei; Yoshinao Mishima,Journal of Alloys and Compounds,425,1-2,223-229,10.1016/j.jallcom.2006.01.071,article,169,,W2063968304,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2006,Geometrical approach to reaction schemes of multicomponent phase diagrams,Seiji Miura,Journal of Phase Equilibria and Diffusion,27,1,34-46,10.1361/105497106x92781,article,8,,W2030550036,所属確認済み（北海道大学）
2006,"Mechanical Properties of Ti&ndash;50(Pt,Ir) High-Temperature Shape Memory Alloys",Yoko Yamabe‐Mitarai; Toru Hara; Seiji Miura; Hideki Hosoda,MATERIALS TRANSACTIONS,47,3,650-657,10.2320/matertrans.47.650,article,65,https://www.jstage.jst.go.jp/article/matertrans/47/3/47_3_650/_pdf,W2058206274,所属確認済み（北海道大学）
2006,Microstructural control of Nb–Si alloy for large Nb grain formation through eutectic and eutectoid reactions,Seiji Miura; Kenji Ohkubo; Tetsuo Mohri,Intermetallics,15,5-6,783-790,10.1016/j.intermet.2006.10.041,article,31,,W2071016935,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2006,Microstructure Control of Nb-Si Alloy Doped with Zr and Mg through Eutectic and Eutectoid Reactions and its Deformation Behavior,Seiji Miura; Yuki Murasato; Kenji Ohkubo; Yoshisato Kimura; Nobuaki Sekido; Yoshinao Mishima; Tetsuo Mohri,MRS Proceedings,980,,,10.1557/proc-980-0980-ii05-33,article,4,,W1939376326,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2006,Microstructure development of unidirectionally solidified (Nb)/Nb3Si eutectic alloys,Nobuaki Sekido; Yoshisato Kimura; Seiji Miura; Yoshinao Mishima,Materials Science and Engineering A,444,1-2,51-57,10.1016/j.msea.2006.06.140,article,47,,W2011719106,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2006,Orientation relationship between Nb and Nb5Si3(D8l) phases in the eutectoid lamellar microstructure,N. Sekido¶; Fu-Gao Wei; Yoshisato Kimura; Seiji Miura; Yoshinao Mishima,Philosophical Magazine Letters,86,2,89-98,10.1080/09500830600567701,article,24,,W2052320361,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2006,Thermophysical Properties of Rh3X for Ultra-High Temperature Applications,Yoshihiro Terada; Kenji Ohkubo; Seiji Miura; Tetsuo Mohri,Platinum Metals Review,50,2,69-76,10.1595/147106706x106182,article,10,https://doi.org/10.1595/147106706x106182,W2033869365,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2006,"Thermophysical Properties of Rh3X for Ultra-High Temperature Applications THERMAL CONDUCTIVITY AND THERMAL EXPANSION OF L12 INTERMETALLIC COMPOUNDS OF RHODIUM WITH TITANIUM, ZIRCONIUM, HAFNIUM, VANADIUM, NIOBIUM AND TANTALUM",Yoshihiro Terada; Kenji Ohkubo; Seiji Miura; Tetsuo Mohri,,,,,,article,0,,W2186004568,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,Al 3 Ti-Mo 3 Al二相合金の微細構造と高温機械的特性に関する調査,Seiji Miura; Hiroyuki Shimamura; Kenji Ohkubo; Tetsuo Mohri,Materials science forum,,,837-840,,article,0,,W3111115923,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
