material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-1184733,GdTh3,Gd,Th,1.0,3.0,5.196684,-65.8884742325,0.067223705000003
mp-20503,GdTl3,Gd,Tl,1.0,3.0,4.74773385,-51.027932595,0.0
mp-1184703,Hf3Pb,Hf,Pb,3.0,1.0,4.45124106,-47.9864988725,0.019860790000002
mp-1184558,Hf3Sn,Hf,Sn,3.0,1.0,4.41221291,-40.3136231425,0.021194234166664
mp-1007730,HfAl3,Hf,Al,1.0,3.0,4.05941982,-16.747374399999998,0.026835965000000003
mp-977573,HfH3,Hf,H,1.0,3.0,3.084554,-14.1916368915625,0.09424659625000001
mp-2126,HfIr3,Hf,Ir,1.0,3.0,3.9430579900000002,-9.935187857500004,0.0
mp-1007656,HfPd3,Hf,Pd,1.0,3.0,3.97857125,-29.389907245,0.014758419999946001
mp-1018054,HfPt3,Hf,Pt,1.0,3.0,4.00245006,-51.0801258825,0.007669869374979
mp-1027,HfRh3,Hf,Rh,1.0,3.0,3.9142167,-30.1944009725,0.0
mp-863720,HgPd3,Hg,Pd,1.0,3.0,4.01939551,-4.075882872499999,0.022062829999999003
mp-1184575,Ho3Er,Ho,Er,3.0,1.0,4.98579747,-33.0883434175,0.059782880000000004
mp-975256,Ho3Hg,Ho,Hg,3.0,1.0,4.786948,-37.19546909750001,0.09404333499999401
mp-863737,Ho3In,Ho,In,3.0,1.0,4.80631353159134,-4.382043532499999,0.005633348749999
mp-981545,Ho3Zr,Ho,Zr,3.0,1.0,4.851889,-30.263905772500003,0.08455013999999701
mp-1877,HoAl3,Ho,Al,1.0,3.0,4.21491698,-13.7246717975,0.015974716250001002
mp-2688,HoGa3,Ho,Ga,1.0,3.0,4.22752208,-3.9492007425,0.030720793749999004
mp-21431,HoIn3,Ho,In,1.0,3.0,4.6022655,-3.600879405,0.0
mp-1386,HoPb3,Ho,Pb,1.0,3.0,4.84368278,-4.188698452499999,0.0
mp-1979,HoPd3,Ho,Pd,1.0,3.0,4.0791001,-26.374932475,0.0
mp-195,HoPt3,Ho,Pt,1.0,3.0,4.08447716,-47.961447995,0.0
mp-11477,HoSn3,Ho,Sn,1.0,3.0,4.68113687,-4.5604002175,0.027415930000003003
mp-976588,HoTh3,Ho,Th,1.0,3.0,5.0438091,-63.279501945,0.047280646250008
mp-2013,HoTl3,Ho,Tl,1.0,3.0,4.71117179,-48.3770378625,0.0
mp-1184488,In3Bi,In,Bi,3.0,1.0,4.8507611,-31.5152750225,0.0800298925
mp-1021668,In3Sb,In,Sb,3.0,1.0,4.836962,-23.384535277499996,0.094997277500002
mp-1184894,In3Sn,In,Sn,3.0,1.0,4.75923232,-23.05856666,0.061922069999997005
mp-30343,InAg3,In,Ag,1.0,3.0,4.1870447,-21.7122204275,0.001366337548077
mp-22784,InNi3,In,Ni,1.0,3.0,3.70045155,-14.6581921375,0.079346227499998
mp-31337,InPd3,In,Pd,1.0,3.0,4.00151542,-23.325552585,0.031658931249999
mp-20516,InPt3,In,Pt,1.0,3.0,4.01798329,-44.7003745175,0.0
mp-1184761,Ir3Os,Ir,Os,3.0,1.0,3.84807393,-52.494420455,0.021401844999999
mp-1184771,Ir3Rh,Ir,Rh,3.0,1.0,3.840335849999999,-45.3219121125,0.006866324999997
mp-1184759,IrPt3,Ir,Pt,1.0,3.0,3.951253,-51.62398874749999,0.08163729000000301
mp-1184768,IrRh3,Ir,Rh,1.0,3.0,3.81706029,-31.20309983,0.008113887500002
mp-982780,K3Cd,K,Cd,3.0,1.0,5.952904,-9.518242686972657,0.056210382734375
mp-1184844,K3Na,K,Na,3.0,1.0,6.36932314,-5.3816272825,0.0231158121875
mp-974627,K3Tl,K,Tl,3.0,1.0,5.90642,-1.4098563175,0.08472879322321401
mp-1185041,KHg3,K,Hg,1.0,3.0,4.94070216,-38.74201071,0.040811829166656
mp-1185202,KPb3,K,Pb,1.0,3.0,5.101371,-43.85154064293586,0.068886191874995
mp-1185080,KRb3,K,Rb,1.0,3.0,7.14148508,-0.9955300450000001,0.022712940062499003
mp-10889,La3Al,La,Al,3.0,1.0,4.97745203,-24.2089676875,0.040546290000001005
mp-1184995,La3Cd,La,Cd,3.0,1.0,5.07254602,-4.054277567500002,0.040731067499997005
mp-20487,La3Ga,La,Ga,3.0,1.0,4.93068257,-25.4724805675,0.071833317916667
mp-20909,La3In,La,In,3.0,1.0,5.0922784,-28.337934925,0.0
mp-1094855,La3Mg,La,Mg,3.0,1.0,5.13909675,-4.116529827499999,0.043494908750001005
mp-867883,La3Pb,La,Pb,3.0,1.0,5.07333124,-5.006014855,0.0
mp-1681,La3Sn,La,Sn,3.0,1.0,5.03858216,-29.05152556,0.0035693758333330003
mp-371,La3Tl,La,Tl,3.0,1.0,5.09044228,-4.5329620525,0.0
mp-1184975,La3Zn,La,Zn,3.0,1.0,4.963663,-24.601530592499998,0.0973784225
mp-867248,LaBi3,La,Bi,1.0,3.0,5.0117565944042894,-51.89655375,0.063453869999996
mp-1185604,LaCe3,La,Ce,1.0,3.0,4.7826167,-30.468820795,0.097845826250001
mp-20729,LaIn3,La,In,1.0,3.0,4.77405039,-24.9621577325,0.0
mp-1016227,LaMg3,La,Mg,1.0,3.0,4.826313,-2.479285965,0.087441792499999
mp-1185074,LaNd3,La,Nd,1.0,3.0,5.23800806,-29.47602363,0.023678158125001
mp-21432,LaPb3,La,Pb,1.0,3.0,4.94831631,-4.465708894999999,0.0
mp-674,LaPd3,La,Pd,1.0,3.0,4.20266203,-25.48138876,0.0
mp-1185044,LaPr3,La,Pr,1.0,3.0,5.27145068,-29.457079465,0.032082862500001
mp-633,LaSn3,La,Sn,1.0,3.0,4.8038498,-26.562739705,0.0
mp-2001,LaTl3,La,Tl,1.0,3.0,4.86194488,-3.370739155000002,0.0
mp-1185037,LaY3,La,Y,1.0,3.0,5.17180131,-22.59387876,0.077517011249998
mp-976254,Li3Mg,Li,Mg,3.0,1.0,4.3034403,-2.8428633275,0.015598815416666
mp-1185300,LiAg3,Li,Ag,1.0,3.0,4.04512754,-16.7336293925,0.008752600000001
mp-10890,LiAl3,Li,Al,1.0,3.0,3.995837,-5.73904017,0.010949575000000001
mp-11248,LiAu3,Li,Au,1.0,3.0,4.02832705,-38.9171240675,0.0
