entry_id,formula,element_A,element_B,count_A,count_B,lattice_constant,delta_e,stability,volume,natoms
10471,HfAl3,Hf,Al,1,3,4.107232919800202,-0.38658195125,0.009712300000001006,69.2864,4
10461,AlFe3,Al,Fe,1,3,3.605475207678863,-0.200551367500001,0.008161893183735114,46.8692,4
17912,Pr3Pb,Pr,Pb,3,1,5.019801476781732,-0.346203270625,0.013027595129488312,126.491,4
17917,Pu3Pb,Pu,Pb,3,1,4.770112320033441,-0.0765148599999996,0.020057960000000846,108.539,4
5608,TiF3,Ti,F,1,3,3.860262718478319,-3.6083761652949,0.013776394999995834,57.5242,4
17924,SrPb3,Sr,Pb,1,3,5.003051470659846,-0.360108355,0.002922580000000008,125.229,4
18693,GdPd3,Gd,Pd,1,3,4.120659161823371,-0.868430664374999,0.001931357500000619,69.9681,4
17158,Cu3Pd,Cu,Pd,3,1,3.705086745947271,-0.1043259475,0.0035014439285710047,50.8622,4
17926,TbPb3,Tb,Pb,1,3,4.857242871560604,-0.126429711166668,0.002615772499998975,114.596,4
29803,Cu3Sn,Cu,Sn,3,1,3.8587074520050053,0.0351470832872001,0.0714824675000008,57.4547,4
17672,MnNi3,Mn,Ni,1,3,3.5549082408104153,-0.111224635948275,0.0,44.9247,4
17928,ThPb3,Th,Pb,1,3,4.909422380660651,-0.232525222500001,0.0,118.329,4
17929,TmPb3,Tm,Pb,1,3,4.835329602125949,-0.2130800775,0.018495053750000268,113.052,4
24941,Na3Hg,Na,Hg,3,1,4.796974366369942,-0.211994986880303,0.016917102431740078,110.383,4
17931,UPb3,U,Pb,1,3,4.833304267231733,0.148792423750001,0.148792423750001,112.91,4
18189,VZn3,V,Zn,1,3,3.8148426881031474,-0.04073035,0.0,55.5175,4
30065,ErTl3,Er,Tl,1,3,4.704673185043906,-0.18061170875,0.004830775000000009,104.133,4
10494,LuAl3,Lu,Al,1,3,4.203132583606407,-0.39538211875,0.0,74.2539,4
17934,YPb3,Y,Pb,1,3,4.8583305301289705,-0.28738307875,0.009914671310809031,114.673,4
17681,MnPt3,Mn,Pt,1,3,3.9276189804399775,-0.358891590948275,5.291000000001711e-05,60.5882,4
17937,YbPb3,Yb,Pb,1,3,4.879338237774983,-0.3634800275,0.0,116.167,4
17682,Mn3Pt,Mn,Pt,3,1,3.832999760933835,0.0663786121551748,0.2426364281034498,56.314,4
17171,Ti3Cu,Ti,Cu,3,1,3.9492633353565862,-0.0275357728396983,0.09173134655343419,61.5954,4
17190,ErPb3,Er,Pb,1,3,4.840172113270229,-0.2354419825,0.01424802499999997,113.392,4
30346,ScGa3,Sc,Ga,1,3,4.103940292884291,-0.493635575,0.0003829950000009963,69.1199,4
17704,MnZn3,Mn,Zn,1,3,3.8090320699607236,-0.0240053184482751,0.0,55.2642,4
17450,ZrHg3,Zr,Hg,1,3,4.414405266122651,-0.0127565337247013,0.057874252516865635,86.0234,4
17965,TbPd3,Tb,Pd,1,3,4.109407310101755,-0.717657476166668,0.0017938774999998186,69.3965,4
6431,Li3N,Li,N,3,1,3.525870884531975,-0.425699003835876,0.0,43.8328,4
18714,AlPt3,Al,Pt,1,3,3.9176712879904376,-0.687711832500001,0.01557226749999896,60.129,4
18716,ScAl3,Sc,Al,1,3,4.1029999856050505,-0.45477582375,0.0,69.0724,4
17455,HoIn3,Ho,In,1,3,4.60640255259235,-0.403235933333332,0.0013795024999999628,97.743,4
10989,Ca3Hg,Ca,Hg,3,1,5.059788875045956,-0.184148943741567,0.11476382187499998,129.538,4
