Al_frac,C_frac,Co_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Si_frac,Ta_frac,Ti_frac,V_frac,Zr_frac,mean_atomic_radius_pm,std_atomic_radius_pm,atomic_size_mismatch_pct,mean_atomic_mass_gmol,std_atomic_mass_gmol,mean_electronegativity,std_electronegativity,VEC_avg,mixing_entropy_J_per_molK,mixing_entropy_over_R,n_elements,temperature_C,processing_ANNEAL,processing_CAST,processing_OTHER,processing_WROUGHT,phase_BCC,phase_FCC,phase_other,source_MPEA_dataset,test_type_T,year,yield_strength_MPa,ys_log10
0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.11764705882352942,0.29411764705882354,0.0,0.29411764705882354,154.235294,6.310863,4.091711,114.694162,56.470839,1.402941,0.106371,4.117647,11.071325,1.331574,4,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,400.0,2.6020599913279625
0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,154.0,6.369571,4.136085,116.587126,56.742181,1.405714,0.10608,4.142857,11.239357,1.351784,4,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,700.0,2.845098040014257
0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2777777777777778,0.0,0.2777777777777778,153.777778,6.416607,4.172649,118.374924,56.939508,1.408333,0.105738,4.166667,11.35815,1.366071,4,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,800.0,2.9030899869919438
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,153.0,6.519202,4.260917,124.63222,57.186367,1.4175,0.104013,4.25,11.526293,1.386294,4,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2017,1500.0,3.1760912590556813
0.06976744186046512,0.0,0.23255813953488372,0.23255813953488372,0.0,0.23255813953488372,0.0,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,0.0,0.0,0.0,126.953488,4.620246,3.639322,54.316778,7.958502,1.805349,0.107516,7.883721,12.825999,1.542613,5,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2019,900.0,2.9542425094393248
0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.0,1.414214,1.122392,56.081139,2.569366,1.766,0.138362,8.0,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2013,370.0,2.568201724066995
0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,0.8,0.632911,55.496829,1.600209,1.734,0.132076,7.6,9.713641,1.168282,4,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,250.0,2.3979400086720375
0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,0.8,0.632911,55.496829,1.600209,1.734,0.132076,7.6,9.713641,1.168282,4,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2017,330.0,2.5185139398778875
0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,0.8,0.632911,55.496829,1.600209,1.734,0.132076,7.6,9.713641,1.168282,4,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2017,280.0,2.4471580313422194
0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,0.8,0.632911,55.496829,1.600209,1.734,0.132076,7.6,9.713641,1.168282,4,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2017,350.0,2.5440680443502757
0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,0.8,0.632911,55.496829,1.600209,1.734,0.132076,7.6,9.713641,1.168282,4,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2017,298.0,2.4742162640762553
0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,0.8,0.632911,55.496829,1.600209,1.734,0.132076,7.6,9.713641,1.168282,4,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2017,400.0,2.6020599913279625
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,860.0,2.934498451243568
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,690.0,2.838849090737255
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,550.0,2.7403626894942437
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2017,260.0,2.4149733479708178
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2017,159.0,2.2013971243204513
