config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
228,4,4,Fe4V4,1,-8.6073865,-8.6073865,0.0,GF4V068,8964.228380000128
232,4,4,Fe4V4,1,-8.60739497375,-8.60739497375,0.0,GF4V069,8957.687661849859
240,4,4,Fe4V4,0,-6.40409735,-7.352859374831177,-0.9487620248311774,GF4V070,977308.6257553116
31,3,5,Fe3V5,1,-8.79875322,-8.79875322,0.0,GF5V001,-72327.64145359938
47,3,5,Fe3V5,0,-6.2939880925,-8.28248479085326,-1.98849669835326,GF5V002,326169.633636186
55,3,5,Fe3V5,0,-8.73486236875,-10.72335906710326,-1.98849669835326,GF5V003,-1557892.402715664
59,3,5,Fe3V5,1,-8.73486939875,-8.73486939875,0.0,GF5V004,-23016.997507149277
61,3,5,Fe3V5,1,-8.7348663975,-8.7348663975,0.0,GF5V005,-23014.68090229887
62,3,5,Fe3V5,0,-6.227786265,-8.21628296335326,-1.98849669835326,GF5V006,377269.5002468864
79,3,5,Fe3V5,1,-8.79875317625,-8.79875317625,0.0,GF5V007,-72327.60768385002
87,3,5,Fe3V5,1,-8.73486757,-8.73486757,0.0,GF5V008,-23015.58593159971
91,3,5,Fe3V5,1,-8.73486823875,-8.73486823875,0.0,GF5V009,-23016.102126349237
93,3,5,Fe3V5,1,-8.73486731125,-8.73486731125,0.0,GF5V010,-23015.386207648957
94,3,5,Fe3V5,1,-8.7348690225,-8.7348690225,0.0,GF5V011,-23016.70708729924
103,3,5,Fe3V5,1,-8.7317030175,-8.7317030175,0.0,GF5V012,-20572.931147898747
107,3,5,Fe3V5,1,-8.73170338625,-8.73170338625,0.0,GF5V013,-20573.215778649675
109,3,5,Fe3V5,0,-6.2671468575,-8.255643555853261,-1.98849669835326,GF5V014,346887.84610798536
110,3,5,Fe3V5,1,-8.73169814,-8.73169814,0.0,GF5V015,-20569.16630319986
115,3,5,Fe3V5,1,-8.73486814,-8.73486814,0.0,GF5V016,-23016.025903199094
117,3,5,Fe3V5,1,-8.73486728375,-8.73486728375,0.0,GF5V017,-23015.36498094994
118,3,5,Fe3V5,1,-8.73170138875,-8.73170138875,0.0,GF5V018,-20571.673948349617
121,3,5,Fe3V5,0,-6.2671471825,-8.25564388085326,-1.98849669835326,GF5V019,346887.59524698654
122,3,5,Fe3V5,0,-6.2278366075,-8.21633330585326,-1.98849669835326,GF5V020,377230.64187798655
124,3,5,Fe3V5,1,-8.734868145,-8.734868145,0.0,GF5V021,-23016.029762599414
143,3,5,Fe3V5,1,-8.80011334625,-8.80011334625,0.0,GF5V022,-73377.49570344992
151,3,5,Fe3V5,1,-8.73170518625,-8.73170518625,0.0,GF5V023,-20574.60516264945
155,3,5,Fe3V5,0,-6.2671467325,-8.25564343085326,-1.98849669835326,GF5V024,346887.94259298645
157,3,5,Fe3V5,1,-8.73170195,-8.73170195,0.0,GF5V025,-20572.10716599913
158,3,5,Fe3V5,1,-8.7317033175,-8.7317033175,0.0,GF5V026,-20573.162711898716
167,3,5,Fe3V5,1,-8.73486796625,-8.73486796625,0.0,GF5V027,-23015.89178904965
171,3,5,Fe3V5,1,-8.73486700625,-8.73486700625,0.0,GF5V028,-23015.15078424867
173,3,5,Fe3V5,1,-8.7348692025,-8.7348692025,0.0,GF5V029,-23016.846025699768
174,3,5,Fe3V5,1,-8.7348639325,-8.7348639325,0.0,GF5V030,-23012.778218099123
179,3,5,Fe3V5,1,-8.7348683375,-8.7348683375,0.0,GF5V031,-23016.17834949937
181,3,5,Fe3V5,1,-8.73486831125,-8.73486831125,0.0,GF5V032,-23016.158087649743
182,3,5,Fe3V5,1,-8.73170414875,-8.73170414875,0.0,GF5V033,-20573.80433714901
185,3,5,Fe3V5,1,-8.731701025,-8.731701025,0.0,GF5V034,-20571.39317699901
186,3,5,Fe3V5,1,-8.73486843375,-8.73486843375,0.0,GF5V035,-23016.252642949345
188,3,5,Fe3V5,1,-8.73486696375,-8.73486696375,0.0,GF5V036,-23015.1179793487
199,3,5,Fe3V5,1,-8.73486663125,-8.73486663125,0.0,GF5V037,-23014.8613292494
203,3,5,Fe3V5,1,-8.73486497375,-8.73486497375,0.0,GF5V038,-23013.581938149124
205,3,5,Fe3V5,1,-8.73486831375,-8.73486831375,0.0,GF5V039,-23016.160017349903
206,3,5,Fe3V5,1,-8.7348693025,-8.7348693025,0.0,GF5V040,-23016.923213699298
211,3,5,Fe3V5,0,-6.2277847925,-8.216281490853259,-1.98849669835326,GF5V041,377270.6368401872
213,3,5,Fe3V5,1,-8.734867625,-8.734867625,0.0,GF5V042,-23015.628384999112
214,3,5,Fe3V5,1,-8.731702955,-8.731702955,0.0,GF5V043,-20572.88290539887
217,3,5,Fe3V5,1,-8.73170530375,-8.73170530375,0.0,GF5V044,-20574.695858548734
218,3,5,Fe3V5,1,-8.7348653825,-8.7348653825,0.0,GF5V045,-23013.89744409986
220,3,5,Fe3V5,1,-8.73486706375,-8.73486706375,0.0,GF5V046,-23015.1951673496
227,3,5,Fe3V5,1,-8.7348696025,-8.7348696025,0.0,GF5V047,-23017.154777699263
229,3,5,Fe3V5,1,-8.73486691625,-8.73486691625,0.0,GF5V048,-23015.081315049774
230,3,5,Fe3V5,0,-8.73134534625,-10.71984204460326,-1.98849669835326,GF5V049,-1555177.6833883647
233,3,5,Fe3V5,1,-8.7317032775,-8.7317032775,0.0,GF5V050,-20573.1318366989
234,3,5,Fe3V5,1,-8.7348686375,-8.7348686375,0.0,GF5V051,-23016.40991349933
236,3,5,Fe3V5,1,-8.73486787375,-8.73486787375,0.0,GF5V052,-23015.82039014923
241,3,5,Fe3V5,1,-8.79875311875,-8.79875311875,0.0,GF5V053,-72327.56330074908
242,3,5,Fe3V5,1,-8.7987533,-8.7987533,0.0,GF5V054,-72327.703203999
244,3,5,Fe3V5,1,-8.7987536025,-8.7987536025,0.0,GF5V055,-72327.93669769913
248,3,5,Fe3V5,0,-6.2940337375,-8.28253043585326,-1.98849669835326,GF5V056,326134.4011735859
63,2,6,Fe2V6,1,-8.88699537125,-8.88699537125,0.0,GF6V001,-74019.71916045011
95,2,6,Fe2V6,1,-8.8869947325,-8.8869947325,0.0,GF6V002,-74019.22612209976
111,2,6,Fe2V6,0,-6.124252745,-8.877977731869567,-2.7537249868695675,GF6V003,-67059.18367548141
119,2,6,Fe2V6,1,-8.848792985,-8.848792985,0.0,GF6V004,-44532.06126179938
123,2,6,Fe2V6,1,-8.84879492625,-8.84879492625,0.0,GF6V005,-44533.55967384928
125,2,6,Fe2V6,0,-6.04477026625,-8.798495253119567,-2.7537249868695675,GF6V006,-5708.247977931301
126,2,6,Fe2V6,1,-8.84879229125,-8.84879229125,0.0,GF6V007,-44531.52577004964
159,2,6,Fe2V6,0,-6.124252745,-8.877977731869567,-2.7537249868695675,GF6V008,-67059.18367548141
175,2,6,Fe2V6,1,-8.88699474875,-8.88699474875,0.0,GF6V009,-74019.23866515011
183,2,6,Fe2V6,1,-8.84881600375,-8.84881600375,0.0,GF6V010,-44549.82897455032
187,2,6,Fe2V6,1,-8.848792175,-8.848792175,0.0,GF6V011,-44531.43603899975
189,2,6,Fe2V6,1,-8.8487920225,-8.8487920225,0.0,GF6V012,-44531.31832729961
190,2,6,Fe2V6,1,-8.848789355,-8.848789355,0.0,GF6V013,-44529.25933739927
207,2,6,Fe2V6,1,-8.88699473,-8.88699473,0.0,GF6V014,-74019.2241923996
215,2,6,Fe2V6,1,-8.84879208,-8.84879208,0.0,GF6V015,-44531.36271040054
219,2,6,Fe2V6,1,-8.84879282875,-8.84879282875,0.0,GF6V016,-44531.94065554968
221,2,6,Fe2V6,1,-8.84879381875,-8.84879381875,0.0,GF6V017,-44532.70481674984
222,2,6,Fe2V6,1,-8.84879110125,-8.84879110125,0.0,GF6V018,-44530.607232850416
231,2,6,Fe2V6,1,-8.8487911025,-8.8487911025,0.0,GF6V019,-44530.60819769981
235,2,6,Fe2V6,1,-8.84879305875,-8.84879305875,0.0,GF6V020,-44532.118187949294
237,2,6,Fe2V6,1,-8.84879225375,-8.84879225375,0.0,GF6V021,-44531.496824549984
238,2,6,Fe2V6,1,-8.84879308625,-8.84879308625,0.0,GF6V022,-44532.13941464968
243,2,6,Fe2V6,1,-8.8869953525,-8.8869953525,0.0,GF6V023,-74019.70468769959
245,2,6,Fe2V6,1,-8.8869947475,-8.8869947475,0.0,GF6V024,-74019.23770029935
246,2,6,Fe2V6,0,-6.1242527675,-8.877977754369567,-2.7537249868695675,GF6V025,-67059.20104278148
249,2,6,Fe2V6,0,-6.12425279625,-8.877977783119569,-2.7537249868695675,GF6V026,-67059.22323433263
250,2,6,Fe2V6,1,-8.88699472625,-8.88699472625,0.0,GF6V027,-74019.22129785005
252,2,6,Fe2V6,1,-8.8869952725,-8.8869952725,0.0,GF6V028,-74019.64293729997
127,1,7,Fe1V7,1,-8.91308062625,-8.91308062625,0.0,GF7V001,-27734.131789849904
191,1,7,Fe1V7,1,-8.91308139,-8.91308139,0.0,GF7V002,-27734.721313200007
223,1,7,Fe1V7,1,-8.91308127625,-8.91308127625,0.0,GF7V003,-27734.633511850283
239,1,7,Fe1V7,1,-8.91308115875,-8.91308115875,0.0,GF7V004,-27734.542815949637
247,1,7,Fe1V7,1,-8.91308101625,-8.91308101625,0.0,GF7V005,-27734.43282305013
251,1,7,Fe1V7,1,-8.91308134125,-8.91308134125,0.0,GF7V006,-27734.68368405032
253,1,7,Fe1V7,1,-8.91308105375,-8.91308105375,0.0,GF7V007,-27734.461768549783
254,1,7,Fe1V7,1,-8.91308122625,-8.91308122625,0.0,GF7V008,-27734.59491784983
255,0,8,Fe0V8,0,-5.47405517375,-8.9632,-3.4891448262500004,GF8V001,0.0
