config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
165,4,4,Fe4V4,True,-8.6538085175,-8.6538085175,0.0,GF4V047,-36647.967984049494
166,4,4,Fe4V4,True,-8.70657627125,-8.70657627125,0.0,GF4V048,-77378.34174859982
167,3,5,Fe3V5,True,-8.7786846225,-8.7786846225,0.0,GF5V027,-66396.50274933684
168,5,3,Fe5V3,True,-8.6220462375,-8.6220462375,0.0,GF3V049,-78772.13245976155
169,4,4,Fe4V4,True,-8.706580505,-8.706580505,0.0,GF4V049,-77381.60969554941
170,4,4,Fe4V4,True,-8.65380871875,-8.65380871875,0.0,GF4V050,-36648.12332489932
171,3,5,Fe3V5,True,-8.77868533,-8.77868533,0.0,GF5V028,-66397.04885443677
172,4,4,Fe4V4,True,-8.591932435,-8.591932435,0.0,GF4V051,11112.942576050149
173,3,5,Fe3V5,True,-8.77868541625,-8.77868541625,0.0,GF5V029,-66397.11542908612
174,3,5,Fe3V5,True,-8.7786856825,-8.7786856825,0.0,GF5V030,-66397.32094213735
175,2,6,Fe2V6,True,-8.9325440075,-8.9325440075,0.0,GF6V009,-118516.65168102508
176,5,3,Fe5V3,True,-8.64972374,-8.64972374,0.0,GF3V050,-100135.84308946258
177,4,4,Fe4V4,True,-8.73372373125,-8.73372373125,0.0,GF4V052,-98332.92317339992
178,4,4,Fe4V4,True,-8.73372371125,-8.73372371125,0.0,GF4V053,-98332.9077358
179,3,5,Fe3V5,True,-8.77868163625,-8.77868163625,0.0,GF5V031,-66394.19772268739
180,4,4,Fe4V4,True,-8.7337237525,-8.7337237525,0.0,GF4V054,-98332.93957584922
181,3,5,Fe3V5,True,-8.7786819375,-8.7786819375,0.0,GF5V032,-66394.43025153675
182,3,5,Fe3V5,True,-8.8075715325,-8.8075715325,0.0,GF5V033,-88693.73084013734
183,2,6,Fe2V6,True,-8.894324775,-8.894324775,0.0,GF6V010,-89015.9904989241
184,4,4,Fe4V4,True,-8.73372291625,-8.73372291625,0.0,GF4V055,-98332.29409119998
185,3,5,Fe3V5,True,-8.80757149,-8.80757149,0.0,GF5V034,-88693.69803523736
186,3,5,Fe3V5,True,-8.7786824475,-8.7786824475,0.0,GF5V035,-66394.8239103364
187,2,6,Fe2V6,True,-8.89432601625,-8.89432601625,0.0,GF6V011,-89016.94859497453
188,3,5,Fe3V5,True,-8.778683465,-8.778683465,0.0,GF5V036,-66395.60929823694
189,2,6,Fe2V6,True,-8.89432986875,-8.89432986875,0.0,GF6V012,-89019.92226267514
190,2,6,Fe2V6,True,-8.894325845,-8.894325845,0.0,GF6V013,-89016.81641052388
191,1,7,Fe1V7,True,-8.9612522725,-8.9612522725,0.0,GF7V002,-74035.15410711197
192,6,2,Fe6V2,True,-8.559664465,-8.559664465,0.0,GF2V028,-97261.72306457526
193,5,3,Fe5V3,True,-8.62204768,-8.62204768,0.0,GF3V051,-78773.24589666181
194,5,3,Fe5V3,True,-8.6220457575,-8.6220457575,0.0,GF3V052,-78771.76195736243
