config_index,config_name,n_fe,n_v,converged,energy_per_atom,sro,sublattice_diff,E_vegard,E_deviation
162,config_162_Fe5V3,5.0,3.0,1.0,-8.433839845,-0.33333333333333326,0.25,-8.53295,0.09911015499999998
163,config_163_Fe4V4,4.0,4.0,1.0,-8.547212515,0.0,0.0,-8.619,0.07178748499999976
164,config_164_Fe5V3,5.0,3.0,1.0,-8.4338426175,-0.33333333333333326,0.25,-8.53295,0.09910738249999973
165,config_165_Fe4V4,4.0,4.0,1.0,-8.61157585625,0.0,0.0,-8.619,0.0074241437499988905
166,config_166_Fe4V4,4.0,4.0,1.0,-8.5656645775,0.0,0.0,-8.619,0.05333542250000001
167,config_167_Fe3V5,3.0,5.0,1.0,-8.73486796625,0.19999999999999996,-0.25,-8.70505,-0.02981796625000044
168,config_168_Fe5V3,5.0,3.0,0.0,-8.4435275725,-0.33333333333333326,0.25,-8.53295,0.08942242749999885
169,config_169_Fe4V4,4.0,4.0,1.0,-8.56566448,0.0,0.0,-8.619,0.05333551999999919
170,config_170_Fe4V4,4.0,4.0,1.0,-8.61157592,0.0,0.0,-8.619,0.007424079999999833
171,config_171_Fe3V5,3.0,5.0,1.0,-8.73486700625,0.19999999999999996,-0.25,-8.70505,-0.029817006249999167
172,config_172_Fe4V4,4.0,4.0,1.0,-8.54721217,0.0,0.0,-8.619,0.07178782999999989
173,config_173_Fe3V5,3.0,5.0,1.0,-8.7348692025,0.19999999999999996,-0.25,-8.70505,-0.029819202500000586
174,config_174_Fe3V5,3.0,5.0,1.0,-8.7348639325,0.19999999999999996,-0.25,-8.70505,-0.02981393249999975
175,config_175_Fe2V6,2.0,6.0,1.0,-8.88699474875,1.0,-0.5,-8.7911,-0.09589474875000015
176,config_176_Fe5V3,5.0,3.0,0.0,-6.4916748775,-1.0,0.75,-8.53295,2.041275122499999
177,config_177_Fe4V4,4.0,4.0,0.0,-8.60763646,-0.5,0.5,-8.619,0.011363539999999617
178,config_178_Fe4V4,4.0,4.0,1.0,-8.60738704,-0.5,0.5,-8.619,0.011612959999999006
179,config_179_Fe3V5,3.0,5.0,1.0,-8.7348683375,-0.19999999999999996,0.25,-8.70505,-0.02981833750000007
180,config_180_Fe4V4,4.0,4.0,1.0,-8.607383905,-0.5,0.5,-8.619,0.01161609499999905
181,config_181_Fe3V5,3.0,5.0,1.0,-8.73486831125,-0.19999999999999996,0.25,-8.70505,-0.029818311250000562
182,config_182_Fe3V5,3.0,5.0,1.0,-8.73170414875,-0.19999999999999996,0.25,-8.70505,-0.026654148749999607
183,config_183_Fe2V6,2.0,6.0,1.0,-8.84881600375,0.0,0.0,-8.7911,-0.05771600375000041
184,config_184_Fe4V4,4.0,4.0,1.0,-8.60764443375,-0.5,0.5,-8.619,0.011355566249999782
185,config_185_Fe3V5,3.0,5.0,1.0,-8.731701025,-0.19999999999999996,0.25,-8.70505,-0.026651024999999606
186,config_186_Fe3V5,3.0,5.0,1.0,-8.73486843375,-0.19999999999999996,0.25,-8.70505,-0.02981843375000004
187,config_187_Fe2V6,2.0,6.0,1.0,-8.848792175,0.0,0.0,-8.7911,-0.05769217499999968
188,config_188_Fe3V5,3.0,5.0,1.0,-8.73486696375,-0.19999999999999996,0.25,-8.70505,-0.029816963749999204
189,config_189_Fe2V6,2.0,6.0,1.0,-8.8487920225,0.0,0.0,-8.7911,-0.057692022499999496
190,config_190_Fe2V6,2.0,6.0,1.0,-8.848789355,0.0,0.0,-8.7911,-0.057689354999999054
191,config_191_Fe1V7,1.0,7.0,1.0,-8.91308139,1.0,-0.25,-8.87715,-0.03593139000000001
192,config_192_Fe6V2,6.0,2.0,0.0,-8.4624618775,-1.0,0.5,-8.446900000000001,-0.015561877499997934
193,config_193_Fe5V3,5.0,3.0,1.0,-8.424468115,-0.33333333333333326,0.25,-8.53295,0.10848188499999978
194,config_194_Fe5V3,5.0,3.0,1.0,-8.433838155,-0.33333333333333326,0.25,-8.53295,0.09911184499999948
195,config_195_Fe4V4,4.0,4.0,1.0,-8.61157602125,0.0,0.0,-8.619,0.007423978749999449
196,config_196_Fe5V3,5.0,3.0,1.0,-8.433840215,-0.33333333333333326,0.25,-8.53295,0.09910978499999956
197,config_197_Fe4V4,4.0,4.0,1.0,-8.54721244875,0.0,0.0,-8.619,0.07178755124999903
198,config_198_Fe4V4,4.0,4.0,1.0,-8.56566281,0.0,0.0,-8.619,0.05333719000000059
199,config_199_Fe3V5,3.0,5.0,1.0,-8.73486663125,0.19999999999999996,-0.25,-8.70505,-0.029816631250000114
200,config_200_Fe5V3,5.0,3.0,1.0,-8.43383698125,-0.33333333333333326,0.25,-8.53295,0.09911301874999978
