config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom,x_V,dH_f_eV,dH_f_Jmol,energy_per_atom_corrected,correction_applied,dH_f_eV_corrected,dH_f_Jmol_corrected,sublattice_order
99,config_099_Fe4V4,Fe4V4,4,4,False,-69.65144693,-8.70643086625,8,27,5.6598616,,0.5,-0.8008095200000014,-77266.10653720013,-8.700292693352274,0.006138172897726335,-0.7517041368181907,-72528.17364090313,0.0
100,config_100_Fe5V3,Fe5V3,5,3,True,-69.01415796,-8.626769745,8,18,8.0383217,,0.375,-0.8542064925000012,-82418.11342886262,-8.626769745,0.0,-0.8542064925000012,-82418.11342886262,0.25
101,config_101_Fe4V4,Fe4V4,4,4,True,-69.65260423,-8.70657552875,8,14,5.6264958,,0.5,-0.8019668199999899,-77377.76862769903,-8.70657552875,0.0,-0.8019668199999899,-77377.76862769903,0.0
102,config_102_Fe4V4,Fe4V4,4,4,True,-69.76769777,-8.72096222125,8,10,5.1562211,,0.5,-0.9170603599999936,-88482.56883459938,-8.72096222125,0.0,-0.9170603599999936,-88482.56883459938,0.0
103,config_103_Fe3V5,Fe3V5,3,5,True,-70.46057543,-8.80757192875,8,13,2.8763523,,0.625,-0.9192520774999977,-88694.03669758727,-8.80757192875,0.0,-0.9192520774999977,-88694.03669758727,0.25
104,config_104_Fe5V3,Fe5V3,5,3,True,-69.01415804,-8.626769755,8,18,8.0383352,,0.375,-0.8542065724999937,-82418.12114766189,-8.626769755,0.0,-0.8542065724999937,-82418.12114766189,0.25
105,config_105_Fe4V4,Fe4V4,4,4,True,-69.76769843,-8.72096230375,8,9,5.1560724,,0.5,-0.9170610199999913,-88482.63251469916,-8.72096230375,0.0,-0.9170610199999913,-88482.63251469916,0.0
106,config_106_Fe4V4,Fe4V4,4,4,True,-69.65264395,-8.70658049375,8,24,5.6273954,,0.5,-0.8020065399999936,-77381.60101189939,-8.70658049375,0.0,-0.8020065399999936,-77381.60101189939,0.0
107,config_107_Fe3V5,Fe3V5,3,5,True,-70.460571,-8.807571375,8,13,2.8763429,,0.625,-0.9192476474999935,-88693.60926903688,-8.807571375,0.0,-0.9192476474999935,-88693.60926903688,0.25
108,config_108_Fe4V4,Fe4V4,4,4,True,-69.65260955,-8.70657619375,8,22,5.6276049,,0.5,-0.8019721399999895,-77378.28192789899,-8.70657619375,0.0,-0.8019721399999895,-77378.28192789899,0.0
109,config_109_Fe3V5,Fe3V5,3,5,True,-70.46057521,-8.80757190125,8,13,2.876356,,0.625,-0.9192518574999937,-88694.0154708869,-8.80757190125,0.0,-0.9192518574999937,-88694.0154708869,0.25
110,config_110_Fe3V5,Fe3V5,3,5,True,-70.46057318,-8.8075716475,8,13,2.8763995,,0.625,-0.9192498274999892,-88693.81960633646,-8.8075716475,0.0,-0.9192498274999892,-88693.81960633646,0.25
111,config_111_Fe2V6,Fe2V6,2,6,False,-71.22078314,-8.9025978925,8,20,0.0,,0.75,-0.9887738449999901,-95401.84443482404,-8.9006931104,0.0019047820999986698,-0.9735355882000007,-93931.58122747707,0.5
112,config_112_Fe5V3,Fe5V3,5,3,True,-69.19780201,-8.64972525125,8,19,6.0649528,,0.375,-1.0378505424999993,-100137.00959311244,-8.64972525125,0.0,-1.0378505424999993,-100137.00959311244,0.75
113,config_113_Fe4V4,Fe4V4,4,4,True,-69.86978977,-8.73372372125,8,16,4.8613678,,0.5,-1.0191523599999925,-98332.91545459928,-8.73372372125,0.0,-1.0191523599999925,-98332.91545459928,0.5
