config_index,composition,n_v,x_V,sro_alpha,eta,y_V_A,y_V_B,dH_f_Jmol_corrected,dHf_deviation
163,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,11113.076690200962,97033.74351268397
164,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78773.24203726149,-64.96411284685018
165,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-36647.96798404949,49272.69883843352
166,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77378.34174859982,8542.325073883185
167,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66396.50274933684,15996.469618404168
168,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78772.13245976155,-63.85453534690896
169,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77381.60969554941,8539.057126933592
170,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-36648.12332489932,49272.54349758368
171,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66397.04885443677,15995.923513304238
172,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,11112.942576050147,97033.60939853315
173,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66397.11542908612,15995.856938654892
174,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66397.32094213735,15995.65142560366
175,Fe2V6,6,0.75,-0.33333333333333326,0.5,0.5,1.0,-118516.65168102508,-51128.396009501725
176,Fe5V3,3,0.375,-0.6000000000000001,0.75,0.75,0.0,-100135.84308946258,-21427.56516504794
177,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.92317339992,-12412.256350916912
178,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.9077358,-12412.240913317
179,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.19772268739,15998.774645053621
180,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.93957584922,-12412.272753366211
181,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.43025153675,15998.542116204262
182,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-88693.73084013734,-6300.758472396337
183,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89015.9904989241,-21627.734827400753
184,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.29409119998,-12411.62726871697
