system,phase,e_above_eV,hmix_eV,delta_r_percent,vec,a_vegard_A,a_pred_q1_A,shift_A,shift_percent
Hf-Nb-Ti-Zn-Zr,BCC,-0.041,-0.101,5.479452054794522,5.800000000000001,3.3787019279313726,3.3745412510068133,-0.004160676924559237,-0.12314424336054505
Nb-Rh-Sc-Ta-Zr,BCC,-0.047,-0.352,5.890403977757666,5.2,3.397137151824883,3.3745575251858897,-0.02257962663899349,-0.6646663243155816
Ag-Hf-Nb-Zn-Zr,BCC,-0.007,-0.032,5.962847939999442,7.2,3.371820141658162,3.3746758050754737,0.0028556634173115825,0.08469204457350596
Hf-Mo-Sc-Ta-Ti,BCC,-0.027,-0.024,4.93185854251647,4.4,3.4032840242061573,3.3753130247233267,-0.02797099948283055,-0.8218826076191218
Al-Nb-Sc-W-Zr,BCC,-0.024,-0.118,8.893228107545625,4.2,3.405021415350154,3.3756082215339935,-0.029413193816160366,-0.863818174052091
Nb-Rh-Sn-Ti-Zr,BCC,-0.054,-0.467,4.606423319938059,5.2,3.416677004397302,3.37566964556789,-0.04100735882941198,-1.2002117489196387
Hf-Nb-Ta-W-Zr,BCC,-0.045,0.006,5.090690322141414,4.800000000000001,3.3904344747013084,3.375870969331831,-0.014563505369477259,-0.42954687601683494
Al-Hf-Pd-Sn-Ta,BCC,-0.03,-0.415,6.899971106431488,5.2,3.4050329153431136,3.375927489365082,-0.02910542597803145,-0.8547766409799477
Hf-Mg-Nb-Ni-Sc,BCC,-0.015,-0.09,5.773372662444715,4.800000000000001,3.4137619836564954,3.376298785225833,-0.03746319843066237,-1.0974168266568887
Ir-Nb-Sc-Ti-Zr,BCC,-0.068,-0.51,6.308584010541295,5.0,3.397553025960086,3.376414480946251,-0.021138545013835053,-0.6221696866044258
Cu-Mg-Sc-Zn-Zr,BCC,-0.031,-0.126,7.003830027882311,6.4,3.40303074627586,3.376699308945902,-0.026331437329957907,-0.7737643087349115
Hf-Nb-Ta-Zn-Zr,BCC,-0.041,-0.042,5.090690322141414,6.0,3.3829597221190038,3.376741229673234,-0.006218492445769552,-0.18381810475338559
Au-Pd-Sc-Ti-Zr,BCC,-0.058,-0.506,6.640657338926484,6.4,3.392335677145308,3.3772680980040257,-0.015067579141282206,-0.44416533548831344
Hf-Sc-Ta-Ti-W,BCC,-0.021,0.024,6.308584010541296,4.4,3.4063548967499924,3.377474279247742,-0.02888061750225024,-0.8478452298028392
Ir-Nb-Sc-Ta-Zr,BCC,-0.06,-0.445,5.890403977757666,5.2,3.401763790736555,3.377528261540975,-0.024235529195580252,-0.7124400953874794
Hf-Nb-Sc-Ta-V,BCC,-0.021,0.091,5.890403977757667,4.4,3.386741909034354,3.377912877117969,-0.008829031916384622,-0.2606939694115045
Al-Hf-Nb-Pd-Sn,BCC,-0.044,-0.453,6.899971106431485,5.2,3.4046188666489154,3.377995382857264,-0.02662348379165147,-0.7819813269688047
Hf-Nb-Sc-Ti-V,BCC,-0.023,0.055,6.308584010541296,4.2,3.3824936373513355,3.3784055993244646,-0.004088038026870855,-0.12085870559307235
Nb-Rh-Sn-Ta-Zr,BCC,-0.051,-0.36,4.361762289887421,5.4,3.4208408497570475,3.379165245060252,-0.04167560469679543,-1.2182854019576879
Ag-Hf-Sc-Ti-Zn,BCC,-0.029,-0.132,6.992058987801012,6.800000000000001,3.387915577433283,3.3793943961707615,-0.008521181262521438,-0.25151693032968564
Cu-Hf-Sc-Zn-Zr,BCC,-0.032,-0.153,7.277249739370949,6.800000000000001,3.3923125045829696,3.3795039347892484,-0.012808569793721247,-0.37757635171927817
Hf-Nb-Pt-Sc-Ti,BCC,-0.052,-0.528,6.308584010541296,5.2,3.3972411299043794,3.380073421951614,-0.017167707952765454,-0.5053426382262323
Nb-Re-Sc-Ti-Zr,BCC,-0.036,-0.171,6.308584010541295,4.6000000000000005,3.4039745906582675,3.3800759362084154,-0.023898654449852064,-0.7020808708572203
Al-Au-Hf-Ti-Zr,BCC,-0.057,-0.415,8.212608302599014,5.2,3.3831694183707572,3.380220326527027,-0.002949091843730045,-0.08716949933740675
Hf-Nb-Pt-Sc-Ta,BCC,-0.043,-0.453,5.890403977757667,5.4,3.4014526664500693,3.3803774921061245,-0.02107517434394479,-0.6195933446852849
Hf-Nb-Pd-Sc-Ti,BCC,-0.042,-0.336,5.489215138267544,5.2,3.3928569761245133,3.380439789411784,-0.0124171867127294,-0.36598025793922256
Nb-Re-Sc-Ta-Zr,BCC,-0.041,-0.116,5.890403977757666,4.800000000000001,3.4081695126069627,3.3808291698814155,-0.027340342725547195,-0.8022002023201638
Hf-Nb-Pd-Sc-Ta,BCC,-0.028,-0.263,4.931858542516468,5.4,3.397079383474735,3.38083732167516,-0.01624206179957488,-0.4781184060221028
Hf-Pt-Rh-Sc-Zr,BCC,-0.085,-0.847,7.277249739370949,6.0,3.413407269041924,3.380921810501355,-0.032485458540568946,-0.9517018035086968
Hf-Pd-Rh-Sc-Zr,BCC,-0.076,-0.695,6.506952828746748,6.0,3.4090646236357127,3.3811971717409293,-0.027867451894783457,-0.8174515584589671
Hf-Sc-Ta-Ti-Zn,BCC,-0.02,-0.063,6.308584010541296,5.6000000000000005,3.398950079508661,3.3812386547674147,-0.01771142474124643,-0.521085168270748
Hf-Pd-Sn-Ta-Ti,BCC,-0.012,-0.355,3.7773969483114977,5.4,3.4170310405235664,3.381806901597037,-0.035224138926529314,-1.0308404725855864
Hf-Mo-Nb-Sc-Ta,BCC,-0.032,-0.009,4.216370213557847,4.6000000000000005,3.407067191638168,3.3821616442914473,-0.02490554734672079,-0.7309966591749497
Al-Au-Hf-Ta-Zr,BCC,-0.016,-0.313,8.155177475308106,5.4,3.387415996246604,3.382244231033386,-0.005171765213218382,-0.15267582189341108
Mg-Ni-Sc-Ti-Zr,BCC,-0.016,-0.137,6.265958442902503,4.6000000000000005,3.4210459279428487,3.3823472077312124,-0.03869872021163623,-1.131195576637775
Hf-Mo-Nb-Sc-Ti,BCC,-0.032,-0.041,4.931858542516475,4.4,3.4028695497793735,3.3825344353295996,-0.020335114449773872,-0.5975872466545862
Hf-Mo-Os-Sc-Zr,BCC,-0.062,-0.313,7.165824330222353,5.0,3.421524348116813,3.382925554057177,-0.03859879405963573,-1.1281168897973877
Hf-Ir-Sc-V-Zr,BCC,-0.002,-0.479,7.277249739370949,5.0,3.403422159916431,3.3829498526804613,-0.020472307235969822,-0.6015212416808294
Pt-Sc-Ta-Ti-Zr,BCC,-0.031,-0.479,6.308584010541295,5.2,3.4087892549250127,3.383147332606186,-0.025641922318826893,-0.752229615890143
Hf-Ir-Pd-Sc-Zr,BCC,-0.083,-0.771,6.506952828746748,6.0,3.4136590095882515,3.3831594498353064,-0.03049955975294516,-0.8934565422989906
Hf-Ir-Pt-Sc-Zr,BCC,-0.09,-0.918,7.277249739370949,6.0,3.417989995682905,3.3832915062341002,-0.034698489448804715,-1.0151723525414256
Hf-Mo-Rh-Sc-Zr,BCC,-0.024,-0.42,5.9628479399994365,5.2,3.418982632307752,3.3833567699581666,-0.035625862349585535,-1.0420018520403749
Hf-Mg-Pd-Zn-Zr,BCC,-0.053,-0.404,5.526556737847597,6.4,3.4056882865796823,3.383458989253973,-0.02222929732570922,-0.6527108606299963
Hf-Nb-Pd-Sn-Ti,BCC,-0.041,-0.388,3.7773969483114977,5.4,3.41661989492454,3.383562087092492,-0.03305780783204826,-0.9675588402782621
Hf-Mg-Pt-Zn-Zr,BCC,-0.052,-0.52,6.277500951994301,6.4,3.4100395302188704,3.3838593755438793,-0.02618015467499113,-0.767737571455976
Hf-Nb-Sc-Ta-W,BCC,-0.027,0.034,5.890403977757667,4.6000000000000005,3.410131257435294,3.38391548165068,-0.026215775784614426,-0.7687614876246991
Cu-Hf-Mg-Ti-Zr,BCC,-0.026,-0.006,5.5265567378475895,5.0,3.4003459855524034,3.3839988852289298,-0.01634710032347364,-0.4807481471864979
Al-Au-Hf-Nb-Zr,BCC,-0.044,-0.345,8.155177475308106,5.4,3.386997628873189,3.384058630518458,-0.002938998354731215,-0.0867729675886718
Ag-Al-Hf-Ti-Zr,BCC,-0.02,-0.188,8.764693011377638,5.2,3.3842757181916054,3.3844759330023275,0.00020021481072207692,0.00591603129868692
Hf-Nb-Sc-Ti-W,BCC,-0.029,0.006,6.308584010541296,4.4,3.4059411694305286,3.3846076095717867,-0.021333559858741857,-0.6263631342260917
Al-Hf-Ta-Ti-Zr,BCC,-0.049,-0.199,7.733006059486149,4.0,3.395333852875433,3.3847129729628436,-0.01062087991258931,-0.3128081176345802
Cu-Hf-Mg-Nb-Zr,BCC,-0.012,0.054,5.056293765910731,5.2,3.4041356825199185,3.385470771575425,-0.018664910944493407,-0.548301028079958
Nb-Rh-Sc-Sn-Ti,BCC,-0.037,-0.494,5.770069148510864,5.0,3.436074935471664,3.385882690575041,-0.050192244896622995,-1.4607436053990828
Hf-Ir-Mo-Sc-Zr,BCC,-0.042,-0.514,5.962847939999443,5.2,3.423550454853844,3.3859076818432814,-0.037642773010562625,-1.0995244120674028
Al-Au-Hf-Sc-Ti,BCC,-0.052,-0.437,9.009859249458126,5.0,3.4029501499365713,3.3859809010845456,-0.016969248852025665,-0.4986628691090864
Al-Hf-Nb-Ti-Zr,BCC,-0.05,-0.228,7.733006059486149,4.0,3.394917434836073,3.3860312483531185,-0.008886186482954361,-0.26174970830721955
Au-Sc-Ti-Zn-Zr,BCC,-0.041,-0.338,7.233164470138975,6.800000000000001,3.398014988958459,3.386349846282108,-0.011665142676350992,-0.3432928552185854
Mo-Sc-Ta-Ti-Zr,BCC,-0.004,0.01,4.931858542516467,4.4,3.414379697648282,3.386486471613092,-0.02789322603519029,-0.816933923734442
Hf-Nb-Pd-Sn-Ta,BCC,-0.035,-0.273,3.3554654010728457,5.6000000000000005,3.420783879230376,3.386534472169811,-0.03424940706056523,-1.0012151679184953
Hf-Re-Sc-V-Zr,BCC,-0.026,-0.13,7.277249739370949,4.6000000000000005,3.4098216582999434,3.386689910102643,-0.02313174819730035,-0.6783858663398042
Al-Hf-Nb-Ta-Zr,BCC,-0.051,-0.179,7.554793896622984,4.2,3.3991347279109223,3.3874235834749133,-0.011711144436008958,-0.3445331054355272
Hf-Nb-Sc-Ta-Zn,BCC,-0.031,-0.033,5.890403977757667,5.800000000000001,3.4027428846746677,3.38799531222491,-0.014747572449757662,-0.4334024917421188
Hf-Nb-Sc-Ti-Zn,BCC,-0.038,-0.096,6.308584010541296,5.6000000000000005,3.3985345472352573,3.3885613410683715,-0.009973206166885795,-0.29345607726715917
Mg-Nb-Ni-Sc-Zr,BCC,-0.007,-0.068,5.773372662444715,4.800000000000001,3.424789977708933,3.3886203371382133,-0.0361696405707197,-1.0561126611015121
Hf-Rh-Sc-Zn-Zr,BCC,-0.065,-0.545,7.277249739370949,6.4,3.4146884708463645,3.3893545104311116,-0.025333960415252932,-0.7419113231425665
Hf-Mo-Re-Sc-Zr,BCC,-0.053,-0.145,5.9628479399994365,4.800000000000001,3.429875132514553,3.3897524774939973,-0.040122655020555786,-1.1697992921141873
Nb-Pt-Sc-Ti-Zr,BCC,-0.044,-0.497,6.308584010541295,5.2,3.408376118421764,3.390873232200312,-0.01750288622145213,-0.5135256677469262
Nb-Pt-Sc-Ta-Zr,BCC,-0.037,-0.42,5.890403977757666,5.4,3.4125602327608178,3.3911337087611204,-0.021426523999697356,-0.6278724048297001
Nb-Pd-Sc-Ti-Zr,BCC,-0.033,-0.308,5.489215138267544,5.2,3.4040206184602826,3.391330728263461,-0.01268989019682154,-0.3727912259991384
Hf-Re-Sc-W-Zr,BCC,-0.033,-0.1,7.277249739370949,4.800000000000001,3.432898636851473,3.391544693655179,-0.04135394319629393,-1.204636302172389
Nb-Pd-Sc-Ta-Zr,BCC,-0.012,-0.233,4.93185854251647,5.4,3.408215427174993,3.3916840652847307,-0.016531361890262275,-0.48504451210599725
Ag-Sc-Ti-Zn-Zr,BCC,-0.022,-0.127,6.99205898780101,6.800000000000001,3.3991116479577186,3.3918672129177945,-0.007244435039924113,-0.21312730472612668
Hf-Ir-Sc-Zn-Zr,BCC,-0.069,-0.604,7.277249739370949,6.4,3.41926776613103,3.3918790260299576,-0.027388740101072173,-0.8010118532501794
Al-Cu-Hf-Sc-Zr,BCC,-0.039,-0.233,9.290862990582562,5.0,3.4083990730773035,3.391969402396945,-0.016429670680358388,-0.48203483008005615
Al-Hf-Sc-Ta-Ti,BCC,-0.043,-0.177,8.446516354424753,3.8,3.4149743221739413,3.391995295165539,-0.022979027008402042,-0.6728901842451865
Hf-Mg-Rh-Ta-Zr,BCC,-0.003,-0.318,5.0562937659107305,4.800000000000001,3.426766808245591,3.392299630227619,-0.034467178017972167,-1.0058221042364537
Hf-Mg-Rh-Ti-Zr,BCC,-0.014,-0.408,5.5265567378475895,4.6000000000000005,3.4226173778321733,3.3924682961812165,-0.030149081650956866,-0.8808779458150467
Hf-Mg-Pt-Sc-Zn,BCC,-0.053,-0.571,7.003830027882311,6.2,3.4295124070668015,3.392561652946922,-0.03695075411987947,-1.0774346243430788
Sc-Ta-Ti-Zn-Zr,BCC,-0.008,-0.048,6.308584010541302,5.6000000000000005,3.4100739285033184,3.392787559629525,-0.0172863688737932,-0.5069206485321035
Hf-Mg-Pd-Sc-Zn,BCC,-0.055,-0.454,6.265958442902507,6.2,3.425210529264958,3.393065650402991,-0.03214487886196693,-0.9384789223121168
Mo-Nb-Sc-Ta-Zr,BCC,-0.012,0.027,4.21637021355784,4.6000000000000005,3.418138357335942,3.393301484628993,-0.02483687270694901,-0.726619876391036
Mo-Nb-Sc-Ti-Zr,BCC,-0.018,-0.007,4.931858542516468,4.4,3.4139679131581406,3.3937134301618146,-0.02025448299632604,-0.5932827581144234
Hf-Mg-Nb-Rh-Zr,BCC,-0.011,-0.337,5.056293765910731,4.800000000000001,3.426357995952858,3.3940785692395807,-0.032279426713277104,-0.942091478806502
Nb-Pd-Sn-Ti-Zr,BCC,-0.028,-0.377,3.77739694831149,5.4,3.427629536241901,3.39422795601977,-0.033401580222131244,-0.9744804643839422
Al-Hf-Ru-Sc-Zr,BCC,-0.068,-0.541,9.994052928406507,4.4,3.4284918301626233,3.3948518602562134,-0.03363996990640983,-0.9811885684095151
Cu-Hf-Mg-Sc-Ti,BCC,-0.023,-0.027,6.265958442902503,4.800000000000001,3.4199290935221054,3.394881317948477,-0.02504777557362825,-0.7324062835417482
Nb-Sc-Ti-W-Zr,BCC,-0.006,0.04,6.308584010541302,4.4,3.4170196211484325,3.3956691414822853,-0.021350479666147226,-0.6248275407611357
Hf-Re-Sc-Zn-Zr,BCC,-0.05,-0.231,7.277249739370949,6.0,3.4256082532775576,3.3958229944770744,-0.029785258800483216,-0.8694881783982521
Al-Hf-Mg-Pd-Zr,BCC,-0.027,-0.499,7.863278793787158,4.6000000000000005,3.4216496265319347,3.3961599628006116,-0.02548966373132311,-0.7449524794611583
Hf-Nb-Ni-Sc-Zr,BCC,-0.031,-0.16,5.9628479399994365,5.2,3.41420813284865,3.396254579475742,-0.01795355337290827,-0.5258482398941711
Al-Hf-Mg-Pt-Zr,BCC,-0.017,-0.637,8.33333333333334,4.6000000000000005,3.425960446008436,3.3967656800320896,-0.029194765976346293,-0.8521629609110323
Al-Hf-Nb-Sc-Ta,BCC,-0.049,-0.156,8.219178082191785,4.0,3.4187316751967494,3.3980150326251497,-0.020716642571599664,-0.6059745115974161
Ag-Au-Hf-Ti-Zr,BCC,-0.02,-0.197,6.506952828746748,6.800000000000001,3.388507913018835,3.398065798387216,0.00955788536838087,0.28206767148628886
Hf-Pd-Pt-Sc-Zr,BCC,-0.078,-0.767,6.506952828746748,6.2,3.4243806932524996,3.398514262544717,-0.025866430707782495,-0.7553608382020863
Al-Hf-Os-Sc-Zr,BCC,-0.071,-0.543,9.994052928406507,4.4,3.4330909643426772,3.398661877775537,-0.03442908656714039,-1.0028597239261445
Al-Au-Sc-Ti-Zr,BCC,-0.049,-0.43,9.00985924945813,5.0,3.414047990144422,3.3986838557006145,-0.015364134443807576,-0.45002690319996463
Au-Hf-Ta-Ti-Zr,BCC,-0.018,-0.173,5.479452054794522,5.6000000000000005,3.3995385763667296,3.398736800627482,-0.0008017757392475566,-0.023584840155114747
Hf-Mg-Rh-Sc-Ta,BCC,-0.008,-0.343,5.773372662444715,4.6000000000000005,3.4460516336687737,3.398911622951529,-0.04714001071724461,-1.3679426697114776
Al-Hf-Rh-Sc-Zr,BCC,-0.076,-0.692,9.290862990582562,4.6000000000000005,3.430566365462709,3.3990629056289077,-0.03150345983380154,-0.9183165832605137
Al-Hf-Nb-Sc-Ti,BCC,-0.046,-0.21,8.446516354424753,3.8,3.4145626810992957,3.399365288546398,-0.01519739255289787,-0.4450758112311229
Nb-Sc-Ta-Zn-Zr,BCC,-0.009,-0.016,5.890403977757667,5.800000000000001,3.4138420703037498,3.3995097672621513,-0.014332303041598493,-0.4198291176464195
Nb-Sc-Ti-Zn-Zr,BCC,-0.034,-0.081,6.308584010541302,5.6000000000000005,3.4096611032789337,3.4001134104541313,-0.00954769282480239,-0.28001882109693416
Au-Hf-Nb-Ti-Zr,BCC,-0.041,-0.2,5.479452054794522,5.6000000000000005,3.3991231879734984,3.400231105130092,0.0011079171565935297,0.03259420430873092
Hf-Nb-Sn-Ti-Zn,BCC,-0.038,-0.156,4.606423319938058,5.800000000000001,3.422218958287274,3.400267445714763,-0.021951512572511156,-0.6414409142159998
Hf-Mo-Pt-Sc-Zr,BCC,-0.004,-0.492,5.9628479399994365,5.4,3.4342105612381677,3.4010462808186186,-0.03316428041954911,-0.9657031748103437
Al-Hf-Ir-Sc-Zr,BCC,-0.082,-0.757,9.290862990582562,4.6000000000000005,3.4351034535377885,3.4015555197844076,-0.03354793375338083,-0.9766207686941729
Au-Hf-Nb-Ta-Zr,BCC,-0.021,-0.119,5.090690322141414,5.800000000000001,3.4033300706888556,3.4018083949179068,-0.0015216757709488604,-0.04471137795461795
Hf-Mg-Rh-Sc-Ti,BCC,-0.022,-0.437,6.265958442902502,4.4,3.4419485985438816,3.4018096207764623,-0.04013897776741926,-1.166170168386596
Hf-Nb-Sn-Ta-Zn,BCC,-0.027,-0.051,4.361762289887421,6.0,3.4263693531672037,3.402257117879231,-0.024112235287972794,-0.7037255124198556
Hf-Ir-Mg-Sc-Ti,BCC,-0.009,-0.505,6.265958442902503,4.4,3.4464557875403243,3.4034113733227316,-0.04304441421759275,-1.248947233653991
Al-Sc-Ta-Ti-Zr,BCC,-0.032,-0.161,8.446516354424753,3.8,3.42599452533327,3.4040510829125656,-0.02194344242070434,-0.6404984671879985
Mg-Pt-Sc-Zn-Zr,BCC,-0.054,-0.562,7.003830027882311,6.2,3.440439821175483,3.404477608378988,-0.03596221279649514,-1.0452795184834263
Ag-Hf-Nb-Ti-Zr,BCC,-0.021,0.035,4.866535912814262,5.6000000000000005,3.400219132358586,3.4045166529687663,0.004297520610180072,0.12638951911311277
Al-Hf-Mg-Pt-Sc,BCC,-0.024,-0.675,8.992003317520894,4.4,3.4452542744550723,3.404812450523083,-0.04044182393198925,-1.173841484846161
Au-Hf-Mg-Pd-Zr,BCC,-0.058,-0.479,5.5265567378475895,6.2,3.425790039213391,3.404916215694436,-0.020873823518954726,-0.6093141517729337
Mg-Pd-Sc-Zn-Zr,BCC,-0.054,-0.448,6.265958442902502,6.2,3.436165277960749,3.405070790216171,-0.031094487744578014,-0.9049182803870124
Al-Hf-Mg-Pd-Sc,BCC,-0.033,-0.536,8.499776469856752,4.4,3.4409916917307504,3.4051055534295904,-0.03588613830115994,-1.0429010447017362
Nb-Pd-Sc-Sn-Ti,BCC,-0.009,-0.408,5.0331981016092735,5.2,3.446904736255633,3.4055130962237565,-0.04139164003187634,-1.2008350447433604
Hf-Mo-Sc-W-Zr,BCC,-0.031,0.029,5.9628479399994365,4.6000000000000005,3.4427249906436366,3.405538329476302,-0.03718666116733438,-1.080151951387268
Al-Hf-Re-Sc-Zr,BCC,-0.059,-0.352,9.290862990582562,4.2,3.441385776631779,3.4056580497797864,-0.035727726851992436,-1.0381784888691143
Hf-Nb-Ta-Ti-Zr,BCC,-0.043,0.0,4.054054054054059,4.4,3.4111743073885012,3.406346582771163,-0.004827724617338269,-0.14152676416686075
Hf-Mg-Nb-Rh-Sc,BCC,-0.02,-0.365,5.773372662444715,4.6000000000000005,3.4456473849764286,3.40671484455587,-0.03893254042055849,-1.1299049516880506
Hf-Pt-Sc-Zn-Zr,BCC,-0.068,-0.627,7.277249739370949,6.6000000000000005,3.429954468480188,3.4079706411170996,-0.02198382736308835,-0.6409364195679652
Hf-Pd-Sc-Zn-Zr,BCC,-0.059,-0.483,6.506952828746748,6.6000000000000005,3.425653701570281,3.4082978083634163,-0.017355893206864703,-0.5066447083927064
Hf-Ir-Mg-Nb-Sc,BCC,-0.007,-0.433,5.77337266244472,4.6000000000000005,3.450144921448545,3.4085609163031942,-0.041584005145350655,-1.205282853100895
Hf-Mg-Pt-Ta-Zr,BCC,-0.012,-0.405,5.0562937659107305,5.0,3.441926089201262,3.409717627132238,-0.03220846206902417,-0.9357685561603244
Al-Nb-Sc-Ta-Zr,BCC,-0.041,-0.139,8.219178082191782,4.0,3.429727784554574,3.4100396335429624,-0.019688151011611588,-0.5740441296908504
Hf-Mg-Pt-Ti-Zr,BCC,-0.039,-0.507,5.5265567378475895,4.800000000000001,3.437813194604106,3.410517705929831,-0.027295488674274893,-0.7939782393388075
Hf-Mo-Sc-Zn-Zr,BCC,-0.032,-0.097,5.9628479399994365,5.800000000000001,3.4354762964549797,3.4105655081046566,-0.02491078835032301,-0.7251043581941784
Hf-Mg-Pd-Ti-Zr,BCC,-0.049,-0.342,4.582655394003563,4.800000000000001,3.4335321048292613,3.4108843040600534,-0.022647800769207915,-0.6596064949372046
Au-Hf-Mg-Pd-Sc,BCC,-0.062,-0.554,6.265958442902503,6.0,3.445085771051997,3.4111390416392906,-0.03394672941270649,-0.9853667417499582
Mg-Rh-Sc-Ta-Zr,BCC,-0.0,-0.313,5.773372662444715,4.6000000000000005,3.456874899953289,3.4111764191071803,-0.0456984808461085,-1.3219593467708655
Al-Nb-Sc-Ti-Zr,BCC,-0.042,-0.194,8.446516354424753,3.8,3.4255855286789596,3.411421556228051,-0.014163972450908613,-0.41347595417857796
Hf-Mg-Nb-Pt-Zr,BCC,-0.03,-0.428,5.056293765910731,5.0,3.441520870679834,3.4119481685503197,-0.02957270212951446,-0.8592916690251744
Hf-Mg-Nb-Pd-Zr,BCC,-0.012,-0.268,3.913390533453221,5.0,3.4372490174881083,3.412451908361728,-0.024797109126380334,-0.7214231206472699
Hf-Mg-Nb-Re-Sc,BCC,-0.002,-0.077,5.773372662444715,4.2,3.456372734289968,3.41290923119654,-0.043463503093427835,-1.2574888889220568
Ir-Mg-Sc-Ta-Zr,BCC,-0.006,-0.38,5.773372662444715,4.6000000000000005,3.461343325498766,3.412932533826091,-0.048410791672675035,-1.3986128251435224
Mg-Rh-Sc-Ti-Zr,BCC,-0.027,-0.408,6.265958442902503,4.4,3.4527975628453764,3.4140947439384703,-0.03870281890690608,-1.1209119041144109
Hf-Ru-Sc-Ta-Zr,BCC,-0.056,-0.307,7.165824330222353,4.800000000000001,3.444434069418011,3.4141510509662805,-0.030283018451730648,-0.8791870548663868
Hf-Nb-Sn-Ta-Ti,BCC,-0.035,-0.088,3.3554654010728457,4.4,3.45388206853671,3.4150151756728437,-0.038866892863866465,-1.1253103636029187
Ir-Mg-Sc-Ti-Zr,BCC,-0.015,-0.475,6.265958442902503,4.4,3.4572765274649813,3.415647017012964,-0.04162951045201746,-1.204112836254436
Al-Au-Hf-Nb-Sn,BCC,-0.035,-0.27,7.232651792330189,5.4,3.430305769362223,3.416623890471032,-0.01368187889119099,-0.39885304142244976
Al-Mg-Pt-Sc-Zr,BCC,-0.024,-0.665,8.992003317520895,4.4,3.456082527607454,3.4172184404491244,-0.038864087158329674,-1.1245127061602362
Hf-Os-Sc-Ta-Zr,BCC,-0.058,-0.325,7.165824330222353,4.800000000000001,3.4489908131341083,3.417225295339601,-0.031765517794507314,-0.9210090578826997
Al-Mg-Pd-Sc-Zr,BCC,-0.033,-0.529,8.499776469856757,4.4,3.451846662424553,3.4176014462119166,-0.03424521621263654,-0.9920839354023605
Ag-Hf-Mg-Pd-Sc,BCC,-0.025,-0.373,4.891055407547639,6.0,3.4461526810239387,3.417625828991653,-0.028526852032285888,-0.8277883968800199
Hf-Os-Sc-Ti-Zr,BCC,-0.049,-0.397,7.584440648866099,4.6000000000000005,3.444894780599724,3.4178064273636743,-0.027088353236049745,-0.7863332543159393
Au-Hf-Mg-Zn-Zr,BCC,-0.043,-0.297,6.277500951994301,6.6000000000000005,3.4313592405192783,3.4178165185341918,-0.013542721985086548,-0.39467514287536637
Al-Hf-Pt-Sc-Zr,BCC,-0.081,-0.771,9.290862990582562,4.800000000000001,3.445692306182038,3.4180884749116722,-0.02760383127036592,-0.8011113244453346
Al-Hf-Pd-Sc-Zr,BCC,-0.069,-0.604,8.764693011377643,4.800000000000001,3.441430809159612,3.418208019229592,-0.023222789930020138,-0.6748004309199254
Hf-Rh-Sc-Ta-Zr,BCC,-0.042,-0.436,5.96284793999944,5.0,3.446489462751258,3.4182582784482656,-0.028231184302992318,-0.8191286991620736
Hf-Ru-Sc-Ti-Zr,BCC,-0.047,-0.376,7.584440648866099,4.6000000000000005,3.440327172776142,3.4183620014018037,-0.02196517137433851,-0.638461700624069
Hf-Nb-Sc-Ta-Ti,BCC,-0.035,0.025,4.93185854251647,4.2,3.430634340543283,3.418368263255498,-0.012266077287784949,-0.3575454586583094
Mg-Nb-Rh-Sc-Zr,BCC,-0.018,-0.335,5.773372662444715,4.6000000000000005,3.4564731790959264,3.4189760109722283,-0.03749716812369819,-1.0848389725826233
Au-Hf-Nb-Sn-Ti,BCC,-0.032,-0.239,4.606423319938053,5.6000000000000005,3.4421286626870575,3.419022216334834,-0.023106446352223475,-0.6712836333719641
Hf-Rh-Sc-Ti-Zr,BCC,-0.056,-0.505,6.506952828746748,4.800000000000001,3.442387471892575,3.419164661401274,-0.023222810491300816,-0.6746134966187654
Hf-Mg-Pt-Sc-Ti,BCC,-0.046,-0.542,6.265958442902502,4.6000000000000005,3.45697531558025,3.4200454628889836,-0.03692985269126625,-1.0682706504968957
Hf-Ir-Sc-Ta-Zr,BCC,-0.058,-0.527,5.96284793999944,5.0,3.450984806025927,3.4203229003666786,-0.030661905659248312,-0.8884972662211701
Au-Hf-Nb-Sn-Ta,BCC,-0.016,-0.113,4.361762289887419,5.800000000000001,3.446231269314651,3.420406928614158,-0.02582434070049322,-0.7493501939476304
Ir-Mg-Nb-Sc-Zr,BCC,-0.013,-0.401,5.773372662444715,4.6000000000000005,3.4609426413561395,3.4207710090819607,-0.04017163227417875,-1.1607136100480953
Al-Hf-Mo-Sc-Zr,BCC,-0.048,-0.217,8.439186484322162,4.0,3.451163928501639,3.4208074264091506,-0.030356502092488302,-0.8796018595867717
Hf-Ir-Sc-Ti-Zr,BCC,-0.064,-0.596,6.506952828746748,4.800000000000001,3.4468935139630044,3.4210279780712316,-0.025865535891772762,-0.7504013624730265
Hf-Mg-Pd-Sc-Ti,BCC,-0.04,-0.377,5.369127516778529,4.6000000000000005,3.452741642023999,3.421297517481184,-0.031444124542814755,-0.9107001856177745
Hf-Nb-Ru-Sc-Zr,BCC,-0.058,-0.322,7.165824330222353,4.800000000000001,3.44402944088561,3.4216934391484597,-0.022336001737150113,-0.6485427061682305
Au-Nb-Sc-Ti-Zr,BCC,-0.011,-0.199,6.308584010541295,5.4,3.4297164495716945,3.4225897739730406,-0.0071266755986538755,-0.20779197649251324
