system,phase,e_above_eV,hmix_eV,delta_r_percent,vec,a_vegard_A,a_pred_q1_A,shift_A,shift_percent
Co-Mn-Ni-V-W,BCC,-0.028,-0.055,1.4705882352941169,7.4,2.9456586530028903,2.937127442284294,-0.008531210718596416,-0.28961980064796206
Cr-Ir-Mn-Ni-V,BCC,-0.043,-0.29,1.7879487173599815,7.4,2.93393353191221,2.937340984269181,0.0034074523569711523,0.1161393848875071
Al-Cu-Fe-Ni-Ru,BCC,-0.0,-0.289,3.83384925834044,8.0,2.9579313522887216,2.9375945825162515,-0.02033676977247012,-0.6875335276707619
Co-Mn-Ni-Os-Ru,BCC,-0.044,-0.316,2.792281631920852,8.4,2.9126203846670595,2.938129274515979,0.025508889848919303,0.8758055111886891
Co-Fe-Ni-Os-Rh,BCC,-0.05,-0.232,2.3424278964210217,8.8,2.908670050386171,2.9381335261964874,0.029463475810316275,1.0129535251481874
Co-Fe-Ir-Ni-Ru,BCC,-0.04,-0.253,2.3424278964210146,8.8,2.9085912494116313,2.938163609716587,0.02957236030495558,1.0167245160672773
Co-Cr-Fe-Mo-V,BCC,-0.036,0.017,2.6918398465999576,6.800000000000001,2.9512720741975524,2.9381973974031386,-0.013074676794413875,-0.44301834821409564
Co-Cu-Fe-Os-Zn,BCC,-0.026,-0.135,2.3424278964210217,9.6,2.9448132549638024,2.938397979324416,-0.006415275639386486,-0.21784999875876146
Co-Cr-Fe-Rh-Ru,BCC,-0.039,-0.135,2.751218666745544,8.0,2.919050169582285,2.9385241604621104,0.019473990879825376,0.66713450432447
Co-Fe-Ni-Re-Ru,BCC,-0.035,-0.17,2.3424278964210146,8.4,2.9173435526499687,2.9385755647778224,0.02123201212785375,0.7277858004953738
Co-Mn-Ni-Re-Zn,BCC,-0.016,-0.103,1.4705882352941169,9.0,2.9494186348376994,2.9386111012092644,-0.010807533628435007,-0.36642928544559505
Fe-Mn-Mo-Ni-V,BCC,-0.035,-0.068,2.691839846599948,7.2,2.9523432497704176,2.9389298354978157,-0.013413414272601898,-0.4543311240535789
Co-Cr-Ni-V-W,BCC,-0.031,0.017,1.4705882352941169,7.2,2.942551350924725,2.9390707043295805,-0.0034806465951446874,-0.11828669001989925
Cr-Fe-Ir-Mn-V,BCC,-0.045,-0.268,1.7749925672341786,7.0,2.9468106870725186,2.9393088787046455,-0.007501808367873064,-0.254573814354042
Cu-Fe-Ni-Rh-Ru,BCC,-0.025,-0.127,2.3424278964210146,9.2,2.9138772060639146,2.9393825029604255,0.02550529689651082,0.8753044515202324
Cr-Mn-Ni-Ru-Zn,BCC,-0.024,-0.151,2.7512186667455425,8.6,2.9462578231542755,2.9393840196271217,-0.006873803527153832,-0.23330624608387837
Co-Cr-Fe-Os-Zn,BCC,-0.03,-0.126,2.7512186667455425,8.6,2.9478544199475407,2.9397575383841206,-0.008096881563420144,-0.27467033340012204
Co-Fe-Mn-Os-Zn,BCC,-0.044,-0.196,2.7512186667455425,8.8,2.950950569852768,2.9398402172655826,-0.01111035258718518,-0.3765008028494191
Co-Cr-Fe-Pd-V,BCC,-0.015,-0.011,1.7749925672341786,7.6,2.9379398466155235,2.940086236938689,0.002146390323165548,0.0730576674549061
Cr-Fe-Ni-Os-Zn,BCC,-0.032,-0.161,2.7512186667455425,8.8,2.945827674391243,2.9401736125935938,-0.005654061797649046,-0.1919345740010899
Co-Fe-Mn-V-W,BCC,-0.021,-0.03,1.7879487173599815,7.0,2.9584341608607096,2.940386396276124,-0.01804776458458557,-0.6100444898640184
Co-Cu-Mn-Ru-Zn,BCC,-0.02,-0.109,2.3424278964210217,9.4,2.94524370006533,2.940469842837779,-0.004773857227551304,-0.16208700242514437
Cu-Mn-Ni-Ru-Zn,BCC,-0.02,-0.164,2.3424278964210217,9.6,2.9432133561062956,2.940680510195188,-0.002532845911107806,-0.08605716285749049
Cr-Fe-Ni-Os-Ru,BCC,-0.057,-0.266,3.312693299999688,8.0,2.9204734329626514,2.9408559827980256,0.020382549835374242,0.6979193717471117
Al-Cr-Mn-Ni-Ru,BCC,-0.032,-0.328,4.351456637944253,6.800000000000001,2.9675313446925937,2.9410465412656572,-0.026484803426936487,-0.8924860549259016
