pair,structure,omega_sf
Co-Sc,L12,-0.11200375853609143
Co-Sn,L12,-0.09723037361960603
Co-Ta,L12,-0.06843086936751425
Co-Ti,L12,-0.09284939945971718
Co-V,L12,-0.08663786012830126
Co-W,L12,-1.3504868189439928e-07
Co-Zn,L12,-0.08753615444907967
Co-Zr,L12,-0.06772713059818042
Cr-Cu,L12,-0.02306703229345259
Cr-Fe,L12,-0.05680657433775894
Cr-Hf,L12,0.002417934010991987
Cr-Ir,L12,0.015652188687500852
Cr-Mg,L12,-0.118978889863158
Cr-Mn,L12,-0.07807070419466058
Cr-Mo,L12,0.007244369751305696
Cr-Nb,L12,0.04106112597692358
Cr-Ni,L12,-0.03180186106577896
Cr-Os,L12,0.0058508961576086305
Cr-Pb,L12,-0.02901133364154098
Cr-Pd,L12,0.04900886710968037
Cr-Pt,L12,0.033042350913476626
Cr-Re,L12,0.014357042280457016
Cr-Rh,L12,0.008597797509792773
Cr-Ru,L12,-0.003368924360492207
Cr-Sc,L12,-0.027219325031277074
Cr-Sn,L12,-0.03836239378486518
Cr-Ta,L12,0.02694407237589198
Cr-Ti,L12,-0.039703563243316774
Cr-V,L12,-0.018166405321121175
Cr-W,L12,0.009713433399939837
Cr-Zn,L12,-0.06543027604048743
Cr-Zr,L12,-0.02022360717776536
Cu-Fe,L12,0.006686230058516026
Cu-Hf,L12,0.00269668017315227
Cu-Ir,L12,0.029227794490907982
Cu-Mg,L12,-0.0859633309969292
Cu-Mn,L12,-0.01709904272676914
Cu-Mo,L12,0.020086763247823436
Cu-Nb,L12,0.04449056411516818
Cu-Ni,L12,-0.0025497904328601077
Cu-Os,L12,0.02715234338809417
Cu-Pb,L12,-0.042016016770351
Cu-Pd,L12,0.021601850749580494
Cu-Pt,L12,0.01973171158793691
Cu-Re,L12,0.016261008704515
Cu-Rh,L12,0.024773274911995918
Cu-Ru,L12,0.0252198703091349
Cu-Sc,L12,-0.05017282012309381
Cu-Sn,L12,-0.046509262520416886
Cu-Ta,L12,0.02684098632387436
Cu-Ti,L12,-0.03517482508110083
Cu-V,L12,0.013987437898936845
Cu-W,L12,0.01806628183803846
Cu-Zn,L12,-0.02861195502850203
Cu-Zr,L12,-0.01836490513726366
Fe-Hf,L12,-0.04705179317898349
Fe-Ir,L12,0.00181801414194804
Fe-Mg,L12,-0.10195490000844722
Fe-Mn,L12,-0.09699090487837769
Fe-Mo,L12,-0.05277459906901905
Fe-Nb,L12,0.005949335229408859
Fe-Ni,L12,-0.003650807672078641
Fe-Os,L12,-0.042558335417901716
Fe-Pb,L12,-0.0720717011440431
Fe-Pd,L12,0.0422221946279773
Fe-Pt,L12,0.045560669893570827
Fe-Re,L12,-0.05015327049485987
Fe-Rh,L12,-0.04826667711244828
Fe-Ru,L12,-0.051712445887713815
Fe-Sc,L12,-0.0779044407947258
Fe-Sn,L12,-0.10987124398003656
Fe-Ta,L12,-0.02907544609312205
Fe-Ti,L12,-0.06634299828297822
Fe-V,L12,-0.07341668221865338
Fe-W,L12,-0.0626230852031308
Fe-Zn,L12,-0.04925668049045452
Fe-Zr,L12,-0.04842288739592561
Hf-Ir,L12,-0.04215148808343617
Hf-Mg,L12,-0.053185636552453716
Hf-Mn,L12,-0.008629033781068092
Hf-Mo,L12,-0.009566256379690427
Hf-Nb,L12,0.014724047141902452
Hf-Ni,L12,-0.027772051428714705
Hf-Os,L12,-0.028913904006693678
Hf-Pb,L12,-0.08219768329602987
Hf-Pd,L12,-0.039657460015021115
Hf-Pt,L12,-0.04096959653335604
Hf-Re,L12,-0.11978515006498489
Hf-Rh,L12,-0.04502412917896076
Hf-Ru,L12,-0.028456071284568858
Hf-Sc,L12,-0.028529367345417472
Hf-Sn,L12,-0.07728657967301884
Hf-Ta,L12,0.007467122582006767
Hf-Ti,L12,-0.014434401215383509
Hf-V,L12,-0.007346370911486025
Hf-W,L12,-0.01116327887345997
Hf-Zn,L12,-0.03335773225762554
Hf-Zr,L12,-0.004894602034241788
